symbol,filingDate,filing_detail_url,document_type
UNL,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1405513/000207187626000224/0002071876-26-000224-index.htm,8-K
USCI,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1479247/000207187626000223/0002071876-26-000223-index.htm,8-K
CPER,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1479247/000207187626000223/0002071876-26-000223-index.htm,8-K
TDW-WTB,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/98222/000110465926111052/0001104659-26-111052-index.htm,8-K
TDW,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/98222/000110465926111052/0001104659-26-111052-index.htm,8-K
TDW-WT,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/98222/000110465926111052/0001104659-26-111052-index.htm,8-K
TDW-WTA,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/98222/000110465926111052/0001104659-26-111052-index.htm,8-K
TDGMW,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/98222/000110465926111052/0001104659-26-111052-index.htm,8-K
USL,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1405528/000207187626000222/0002071876-26-000222-index.htm,8-K
UNG,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1376227/000207187626000221/0002071876-26-000221-index.htm,8-K
UGA,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1396878/000207187626000220/0002071876-26-000220-index.htm,8-K
USO,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1327068/000207187626000219/0002071876-26-000219-index.htm,8-K
UGA,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1396878/000207187626000218/0002071876-26-000218-index.htm,8-K
BNO,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1472494/000207187626000217/0002071876-26-000217-index.htm,8-K
HCTI,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1839285/000121390026103604/0001213900-26-103604-index.htm,8-K
CELZ,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1187953/000147793226005805/0001477932-26-005805-index.htm,8-K
RWAY,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1653384/000119312526402956/0001193125-26-402956-index.htm,8-K
RWAYL,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1653384/000119312526402956/0001193125-26-402956-index.htm,8-K
RWAYZ,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/1653384/000119312526402956/0001193125-26-402956-index.htm,8-K
NMPAU,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/2054876/000121390026103585/0001213900-26-103585-index.htm,8-K
NMPA,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/2054876/000121390026103585/0001213900-26-103585-index.htm,8-K
NMP,2026-09-25 00:00:00,https://www.sec.gov/Archives/edgar/data/2054876/000121390026103585/0001213900-26-103585-index.htm,8-K
