symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
TGL,0001905956,2026-08-18 00:00:00,2026-08-18 17:20:28,8-K,False,https://www.sec.gov/Archives/edgar/data/1905956/000121390026091317/0001213900-26-091317-index.htm,https://www.sec.gov/Archives/edgar/data/1905956/000121390026091317/ea0302581-8k_treasure.htm
None,0002063009,2026-08-18 00:00:00,2026-08-18 17:18:06,8-K,True,https://www.sec.gov/Archives/edgar/data/2063009/000153949726002300/0001539497-26-002300-index.htm,https://www.sec.gov/Archives/edgar/data/2063009/000153949726002300/exh4_1c15psa.htm
ANSC,0001854149,2026-08-18 00:00:00,2026-08-18 17:17:03,8-K,False,https://www.sec.gov/Archives/edgar/data/1854149/000119312526355695/0001193125-26-355695-index.htm,https://www.sec.gov/Archives/edgar/data/1854149/000119312526355695/ansc-20260812.htm
ANSCU,0001854149,2026-08-18 00:00:00,2026-08-18 17:17:03,8-K,False,https://www.sec.gov/Archives/edgar/data/1854149/000119312526355695/0001193125-26-355695-index.htm,https://www.sec.gov/Archives/edgar/data/1854149/000119312526355695/ansc-20260812.htm
ANSCW,0001854149,2026-08-18 00:00:00,2026-08-18 17:17:03,8-K,False,https://www.sec.gov/Archives/edgar/data/1854149/000119312526355695/0001193125-26-355695-index.htm,https://www.sec.gov/Archives/edgar/data/1854149/000119312526355695/ansc-20260812.htm
LPBBU,0002023676,2026-08-18 00:00:00,2026-08-18 17:16:11,8-K,False,https://www.sec.gov/Archives/edgar/data/2023676/000121390026091307/0001213900-26-091307-index.htm,https://www.sec.gov/Archives/edgar/data/2023676/000121390026091307/ea0302052-8k425_launch.htm
LPBBW,0002023676,2026-08-18 00:00:00,2026-08-18 17:16:11,8-K,False,https://www.sec.gov/Archives/edgar/data/2023676/000121390026091307/0001213900-26-091307-index.htm,https://www.sec.gov/Archives/edgar/data/2023676/000121390026091307/ea0302052-8k425_launch.htm
LPBB,0002023676,2026-08-18 00:00:00,2026-08-18 17:16:11,8-K,False,https://www.sec.gov/Archives/edgar/data/2023676/000121390026091307/0001213900-26-091307-index.htm,https://www.sec.gov/Archives/edgar/data/2023676/000121390026091307/ea0302052-8k425_launch.htm
WRAP,0001702924,2026-08-18 00:00:00,2026-08-18 17:13:09,8-K,False,https://www.sec.gov/Archives/edgar/data/1702924/000149315226039044/0001493152-26-039044-index.htm,https://www.sec.gov/Archives/edgar/data/1702924/000149315226039044/form8-k.htm
HSCS,0001468492,2026-08-18 00:00:00,2026-08-18 17:13:09,8-K,False,https://www.sec.gov/Archives/edgar/data/1468492/000121390026091301/0001213900-26-091301-index.htm,https://www.sec.gov/Archives/edgar/data/1468492/000121390026091301/ea0302504-8k_heart.htm
HSCSW,0001468492,2026-08-18 00:00:00,2026-08-18 17:13:09,8-K,False,https://www.sec.gov/Archives/edgar/data/1468492/000121390026091301/0001213900-26-091301-index.htm,https://www.sec.gov/Archives/edgar/data/1468492/000121390026091301/ea0302504-8k_heart.htm
LVVP,0001387061,2026-08-18 00:00:00,2026-08-18 17:08:41,8-K,False,https://www.sec.gov/Archives/edgar/data/1387061/000114036126033595/0001140361-26-033595-index.htm,https://www.sec.gov/Archives/edgar/data/1387061/000114036126033595/ef20080530_8k.htm
OWL,0001823945,2026-08-18 00:00:00,2026-08-18 17:05:56,8-K,False,https://www.sec.gov/Archives/edgar/data/1823945/000119312526355671/0001193125-26-355671-index.htm,https://www.sec.gov/Archives/edgar/data/1823945/000119312526355671/d166284d8k.htm
OWL-WT,0001823945,2026-08-18 00:00:00,2026-08-18 17:05:56,8-K,False,https://www.sec.gov/Archives/edgar/data/1823945/000119312526355671/0001193125-26-355671-index.htm,https://www.sec.gov/Archives/edgar/data/1823945/000119312526355671/d166284d8k.htm
KSS,0000885639,2026-08-18 00:00:00,2026-08-18 17:05:15,8-K,False,https://www.sec.gov/Archives/edgar/data/885639/000119312526355669/0001193125-26-355669-index.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312526355669/kss-20260818.htm
SVVC,0001495584,2026-08-18 00:00:00,2026-08-18 17:03:27,8-K,False,https://www.sec.gov/Archives/edgar/data/1495584/000143774926028421/0001437749-26-028421-index.htm,https://www.sec.gov/Archives/edgar/data/1495584/000143774926028421/sccv20260817_8k.htm
DAIC,0002033770,2026-08-18 00:00:00,2026-08-18 17:02:16,8-K,False,https://www.sec.gov/Archives/edgar/data/2033770/000121390026091288/0001213900-26-091288-index.htm,https://www.sec.gov/Archives/edgar/data/2033770/000121390026091288/ea0302597-8k_cidhold.htm
BAX,0000010456,2026-08-18 00:00:00,2026-08-18 17:00:50,8-K,False,https://www.sec.gov/Archives/edgar/data/10456/000162828026057739/0001628280-26-057739-index.htm,https://www.sec.gov/Archives/edgar/data/10456/000162828026057739/bax-20260818.htm
PGYWW,0001883085,2026-08-18 00:00:00,2026-08-18 17:00:40,8-K,False,https://www.sec.gov/Archives/edgar/data/1883085/000162828026057738/0001628280-26-057738-index.htm,https://www.sec.gov/Archives/edgar/data/1883085/000162828026057738/pgy-20260817.htm
PGY,0001883085,2026-08-18 00:00:00,2026-08-18 17:00:40,8-K,False,https://www.sec.gov/Archives/edgar/data/1883085/000162828026057738/0001628280-26-057738-index.htm,https://www.sec.gov/Archives/edgar/data/1883085/000162828026057738/pgy-20260817.htm
PCYG,0000050471,2026-08-18 00:00:00,2026-08-18 17:00:31,8-K,False,https://www.sec.gov/Archives/edgar/data/50471/000143774926028419/0001437749-26-028419-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000143774926028419/trak20260818_8k.htm
TRAK,0000050471,2026-08-18 00:00:00,2026-08-18 17:00:31,8-K,False,https://www.sec.gov/Archives/edgar/data/50471/000143774926028419/0001437749-26-028419-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000143774926028419/trak20260818_8k.htm
MLM,0000916076,2026-08-18 00:00:00,2026-08-18 17:00:23,8-K,False,https://www.sec.gov/Archives/edgar/data/916076/000095015726000922/0000950157-26-000922-index.htm,https://www.sec.gov/Archives/edgar/data/916076/000095015726000922/form8-k.htm
NXB,0002067767,2026-08-18 00:00:00,2026-08-18 17:00:15,8-K,False,https://www.sec.gov/Archives/edgar/data/2067767/000149315226039033/0001493152-26-039033-index.htm,https://www.sec.gov/Archives/edgar/data/2067767/000149315226039033/form8-k.htm
WBI,0002064947,2026-08-18 00:00:00,2026-08-18 17:00:15,8-K,False,https://www.sec.gov/Archives/edgar/data/2064947/000119312526355657/0001193125-26-355657-index.htm,https://www.sec.gov/Archives/edgar/data/2064947/000119312526355657/wbi-20260813.htm
TCRX,0001783328,2026-08-18 00:00:00,2026-08-18 17:00:14,8-K,False,https://www.sec.gov/Archives/edgar/data/1783328/000119312526355664/0001193125-26-355664-index.htm,https://www.sec.gov/Archives/edgar/data/1783328/000119312526355664/d143845d8k.htm
CYCUW,0001868419,2026-08-18 00:00:00,2026-08-18 16:58:37,8-K,False,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/0001628280-26-057733-index.htm,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/cycu-20260817.htm
CYCU,0001868419,2026-08-18 00:00:00,2026-08-18 16:58:37,8-K,False,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/0001628280-26-057733-index.htm,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/cycu-20260817.htm
WAVSU,0001868419,2026-08-18 00:00:00,2026-08-18 16:58:37,8-K,False,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/0001628280-26-057733-index.htm,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/cycu-20260817.htm
WAVSW,0001868419,2026-08-18 00:00:00,2026-08-18 16:58:37,8-K,False,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/0001628280-26-057733-index.htm,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/cycu-20260817.htm
WAVS,0001868419,2026-08-18 00:00:00,2026-08-18 16:58:37,8-K,False,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/0001628280-26-057733-index.htm,https://www.sec.gov/Archives/edgar/data/1868419/000162828026057733/cycu-20260817.htm
VRSK,0001442145,2026-08-18 00:00:00,2026-08-18 16:58:35,8-K,False,https://www.sec.gov/Archives/edgar/data/1442145/000119312526355652/0001193125-26-355652-index.htm,https://www.sec.gov/Archives/edgar/data/1442145/000119312526355652/d172499d8k.htm
LEU,0001065059,2026-08-18 00:00:00,2026-08-18 16:55:52,8-K,False,https://www.sec.gov/Archives/edgar/data/1065059/000162828026057731/0001628280-26-057731-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000162828026057731/leu-20260815.htm
SEZNL,0001662991,2026-08-18 00:00:00,2026-08-18 16:54:09,8-K,False,https://www.sec.gov/Archives/edgar/data/1662991/000166299126000144/0001662991-26-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1662991/000166299126000144/sezl-20260812.htm
SEZL,0001662991,2026-08-18 00:00:00,2026-08-18 16:54:09,8-K,False,https://www.sec.gov/Archives/edgar/data/1662991/000166299126000144/0001662991-26-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1662991/000166299126000144/sezl-20260812.htm
FOXX,0002013807,2026-08-18 00:00:00,2026-08-18 16:53:56,8-K,False,https://www.sec.gov/Archives/edgar/data/2013807/000121390026091276/0001213900-26-091276-index.htm,https://www.sec.gov/Archives/edgar/data/2013807/000121390026091276/ea0302606-8k_foxx.htm
BAFN,0001649739,2026-08-18 00:00:00,2026-08-18 16:51:30,8-K,False,https://www.sec.gov/Archives/edgar/data/1649739/000164973926000063/0001649739-26-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1649739/000164973926000063/bafn-20260814.htm
IRIX,0001006045,2026-08-18 00:00:00,2026-08-18 16:51:26,8-K,True,https://www.sec.gov/Archives/edgar/data/1006045/000119312526355635/0001193125-26-355635-index.htm,https://www.sec.gov/Archives/edgar/data/1006045/000119312526355635/irix-ex99_1.htm
POSC,0000844985,2026-08-18 00:00:00,2026-08-18 16:48:00,8-K,False,https://www.sec.gov/Archives/edgar/data/844985/000153949726002298/0001539497-26-002298-index.htm,https://www.sec.gov/Archives/edgar/data/844985/000153949726002298/n5417_x7-8k.htm
TOL,0000794170,2026-08-18 00:00:00,2026-08-18 16:46:57,8-K,True,https://www.sec.gov/Archives/edgar/data/794170/000079417026000096/0000794170-26-000096-index.htm,https://www.sec.gov/Archives/edgar/data/794170/000079417026000096/tol-7312026x8kexh991.htm
None,0002091562,2026-08-18 00:00:00,2026-08-18 16:44:04,8-K,False,https://www.sec.gov/Archives/edgar/data/2091562/000153949726002297/0001539497-26-002297-index.htm,https://www.sec.gov/Archives/edgar/data/2091562/000153949726002297/n5366_x20-8k.htm
ZDPY,0001279620,2026-08-18 00:00:00,2026-08-18 16:42:51,8-K,False,https://www.sec.gov/Archives/edgar/data/1279620/000121390026091260/0001213900-26-091260-index.htm,https://www.sec.gov/Archives/edgar/data/1279620/000121390026091260/ea0302275-8k_zoned.htm
