symbol,filingDate,filing_detail_url,document_type
HWC,46161,https://www.sec.gov/Archives/edgar/data/750577/000119312526231144/0001193125-26-231144-index.htm,8-K
HWCPZ,46161,https://www.sec.gov/Archives/edgar/data/750577/000119312526231144/0001193125-26-231144-index.htm,8-K
IIPR,46161,https://www.sec.gov/Archives/edgar/data/1677576/000110465926063383/0001104659-26-063383-index.htm,8-K
,46162,https://www.sec.gov/Archives/edgar/data/1677576/000110465926064109/0001104659-26-064109-index.htm,8-K
IIPR-PA,46161,https://www.sec.gov/Archives/edgar/data/1677576/000110465926063383/0001104659-26-063383-index.htm,8-K
,46162,https://www.sec.gov/Archives/edgar/data/1677576/000110465926064109/0001104659-26-064109-index.htm,8-K
INHD,46162,https://www.sec.gov/Archives/edgar/data/1961847/000149315226024623/0001493152-26-024623-index.htm,8-K
INM,46161,https://www.sec.gov/Archives/edgar/data/1728328/000106299326002787/0001062993-26-002787-index.htm,8-K
,,https://www.sec.gov/Archives/edgar/data/1728328/000121390026058795/0001213900-26-058795-index.htm,8-K
IOAC,46161,https://www.sec.gov/Archives/edgar/data/1854275/000121390026059140/0001213900-26-059140-index.htm,8-K
IOACU,46161,https://www.sec.gov/Archives/edgar/data/1854275/000121390026059140/0001213900-26-059140-index.htm,8-K
IOACW,46161,https://www.sec.gov/Archives/edgar/data/1854275/000121390026059140/0001213900-26-059140-index.htm,8-K
IPW,46161,https://www.sec.gov/Archives/edgar/data/1830072/000168316826004092/0001683168-26-004092-index.htm,8-K
JAGX,46161,https://www.sec.gov/Archives/edgar/data/1585608/000119312526231083/0001193125-26-231083-index.htm,8-K
KRP,46161,https://www.sec.gov/Archives/edgar/data/1657788/000110465926063578/0001104659-26-063578-index.htm,8-K
LCAPU,46161,https://www.sec.gov/Archives/edgar/data/1802450/000121390026059017/0001213900-26-059017-index.htm,8-K
LCAPW,46161,https://www.sec.gov/Archives/edgar/data/1802450/000121390026059017/0001213900-26-059017-index.htm,8-K
LIFW,46161,https://www.sec.gov/Archives/edgar/data/1802450/000121390026059017/0001213900-26-059017-index.htm,8-K
LIFWW,46161,https://www.sec.gov/Archives/edgar/data/1802450/000121390026059017/0001213900-26-059017-index.htm,8-K
LIFWZ,46161,https://www.sec.gov/Archives/edgar/data/1802450/000121390026059017/0001213900-26-059017-index.htm,8-K
LIMN,46162,https://www.sec.gov/Archives/edgar/data/1971387/000110465926064585/0001104659-26-064585-index.htm,8-K
LUMN,46162,https://www.sec.gov/Archives/edgar/data/18926/000119312526232567/0001193125-26-232567-index.htm,8-K
,,https://www.sec.gov/Archives/edgar/data/18926/000119312526232747/0001193125-26-232747-index.htm,8-K
LUV,46161,https://www.sec.gov/Archives/edgar/data/92380/000119312526230895/0001193125-26-230895-index.htm,8-K
LVWR,46161,https://www.sec.gov/Archives/edgar/data/1898795/000189879526000054/0001898795-26-000054-index.htm,8-K
