symbol,filingDate,filing_detail_url,document_type
VIVK,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1450704/000182912626009949/0001829126-26-009949-index.htm,8-K
IQV,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1478242/000119312526386633/0001193125-26-386633-index.htm,8-K
WRAP,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1702924/000149315226041992/0001493152-26-041992-index.htm,8-K
DMAQR,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1857086/000149315226041991/0001493152-26-041991-index.htm,8-K
DMAQ,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1857086/000149315226041991/0001493152-26-041991-index.htm,8-K
TRUG,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1857086/000149315226041991/0001493152-26-041991-index.htm,8-K
PRKA,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1297937/000149315226041987/0001493152-26-041987-index.htm,8-K
GCTK,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1506983/000149315226041978/0001493152-26-041978-index.htm,8-K
IGAP,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1506983/000149315226041978/0001493152-26-041978-index.htm,8-K
DEC,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1922446/000192244626000086/0001922446-26-000086-index.htm,8-K
None,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1042773/000110465926106356/0001104659-26-106356-index.htm,8-K
None,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/48732/000110465926106356/0001104659-26-106356-index.htm,8-K
CNP,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1130310/000110465926106356/0001104659-26-106356-index.htm,8-K
CNP-PB,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1130310/000110465926106356/0001104659-26-106356-index.htm,8-K
ENVA,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1529864/000119312526386483/0001193125-26-386483-index.htm,8-K
VSEE,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1864531/000118518526003896/0001185185-26-003896-index.htm,8-K
VSEEW,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1864531/000118518526003896/0001185185-26-003896-index.htm,8-K
DHACU,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1864531/000118518526003896/0001185185-26-003896-index.htm,8-K
DHAC,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1864531/000118518526003896/0001185185-26-003896-index.htm,8-K
DHACW,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1864531/000118518526003896/0001185185-26-003896-index.htm,8-K
POLEW,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2025341/000121390026098391/0001213900-26-098391-index.htm,8-K
POLE,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2025341/000121390026098391/0001213900-26-098391-index.htm,8-K
POLEU,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2025341/000121390026098391/0001213900-26-098391-index.htm,8-K
HTFC,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1487428/000143774926029978/0001437749-26-029978-index.htm,8-K
HTFA,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1487428/000143774926029978/0001437749-26-029978-index.htm,8-K
HTFB,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1487428/000143774926029978/0001437749-26-029978-index.htm,8-K
HRZN,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1487428/000143774926029978/0001437749-26-029978-index.htm,8-K
None,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2011498/000119312526386441/0001193125-26-386441-index.htm,8-K
TRSO,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1758699/000164033426001475/0001640334-26-001475-index.htm,8-K
SRXH,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1471727/000149315226041945/0001493152-26-041945-index.htm,8-K
BTTR,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1471727/000149315226041945/0001493152-26-041945-index.htm,8-K
LEXXW,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1348362/000164033426001468/0001640334-26-001468-index.htm,8-K
LEXX,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1348362/000164033426001468/0001640334-26-001468-index.htm,8-K
EZRA,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1812727/000149315226041914/0001493152-26-041914-index.htm,8-K
RELIW,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1812727/000149315226041914/0001493152-26-041914-index.htm,8-K
RELI,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1812727/000149315226041914/0001493152-26-041914-index.htm,8-K
LMB,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1606163/000162828026061042/0001628280-26-061042-index.htm,8-K
None,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1727255/000168316826007026/0001683168-26-007026-index.htm,8-K
MAX,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1818383/000181838326000231/0001818383-26-000231-index.htm,8-K
CSR,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/798359/000114036126035986/0001140361-26-035986-index.htm,8-K
CSR-PC,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/798359/000114036126035986/0001140361-26-035986-index.htm,8-K
AA,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1675149/000119312526385947/0001193125-26-385947-index.htm,8-K
GAME,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1714562/000149315226041884/0001493152-26-041884-index.htm,8-K
SIG,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/832988/000083298826000227/0000832988-26-000227-index.htm,8-K
IRT,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1466085/000143774926029903/0001437749-26-029903-index.htm,8-K
None,2026-09-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1938570/000119312526385826/0001193125-26-385826-index.htm,8-K
