symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
AXP,0000004962,2026-08-12 00:00:00,2026-08-12 17:29:42,8-K,False,https://www.sec.gov/Archives/edgar/data/4962/000000496226000338/0000004962-26-000338-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496226000338/axp-20260812.htm
BSEM,0001658678,2026-08-12 00:00:00,2026-08-12 17:27:17,8-K,True,https://www.sec.gov/Archives/edgar/data/1658678/000119312526347211/0001193125-26-347211-index.htm,https://www.sec.gov/Archives/edgar/data/1658678/000119312526347211/bsem-ex99_1.htm
None,0001544190,2026-08-12 00:00:00,2026-08-12 17:25:51,8-K,False,https://www.sec.gov/Archives/edgar/data/1544190/000149315226037454/0001493152-26-037454-index.htm,https://www.sec.gov/Archives/edgar/data/1544190/000149315226037454/form8-k.htm
None,0001109448,2026-08-12 00:00:00,2026-08-12 17:25:31,8-K,False,https://www.sec.gov/Archives/edgar/data/1109448/000110944826000201/0001109448-26-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1109448/000110944826000201/ab-20260812.htm
SUNE,0000022701,2026-08-12 00:00:00,2026-08-12 17:24:37,8-K,True,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea030184901ex99-1.htm
JCS,0000022701,2026-08-12 00:00:00,2026-08-12 17:24:37,8-K,True,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea030184901ex99-1.htm
PEGY,0000022701,2026-08-12 00:00:00,2026-08-12 17:24:37,8-K,True,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea030184901ex99-1.htm
SLNCF,0001479615,2026-08-12 00:00:00,2026-08-12 17:23:33,8-K,False,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/0001193125-26-347196-index.htm,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/d168365d8k.htm
SLN,0001479615,2026-08-12 00:00:00,2026-08-12 17:23:33,8-K,False,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/0001193125-26-347196-index.htm,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/d168365d8k.htm
AB,0000825313,2026-08-12 00:00:00,2026-08-12 17:21:04,8-K,False,https://www.sec.gov/Archives/edgar/data/825313/000082531326000053/0000825313-26-000053-index.htm,https://www.sec.gov/Archives/edgar/data/825313/000082531326000053/ab-20260812.htm
LGTOU,0001883814,2026-08-12 00:00:00,2026-08-12 17:20:51,8-K,True,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_ex99-1.htm
LGTOW,0001883814,2026-08-12 00:00:00,2026-08-12 17:20:51,8-K,True,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_ex99-1.htm
SLND,0001883814,2026-08-12 00:00:00,2026-08-12 17:20:51,8-K,True,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_ex99-1.htm
LGTO,0001883814,2026-08-12 00:00:00,2026-08-12 17:20:51,8-K,True,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_ex99-1.htm
VCKA,0001820190,2026-08-12 00:00:00,2026-08-12 17:18:57,8-K,False,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-20260808.htm
VCKAU,0001820190,2026-08-12 00:00:00,2026-08-12 17:18:57,8-K,False,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-20260808.htm
