symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
TMQ,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1543418/000127956926000519/0001279569-26-000519-index.htm,EX-99.1,"NEWS RELEASE DATED JUNE 9, 2026",https://www.sec.gov/Archives/edgar/data/1543418/000127956926000519/ex991.htm,False,
TMQ,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1543418/000127956926000519/0001279569-26-000519-index.htm,EX-99.1,PRINTER FRIENDLY VERSION,https://www.sec.gov/Archives/edgar/data/1543418/000127956926000519/ex991.pdf,False,
None,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2030781/000203078126000008/0002030781-26-000008-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/2030781/000203078126000008/sail-20260609.htm,False,
None,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/2030781/000203078126000008/0002030781-26-000008-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/2030781/000203078126000008/sailpointinc-20260430x991x.htm,True,
SELB,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1453687/000114036126024556/0001140361-26-024556-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1453687/000114036126024556/ef20075770_8k.htm,False,
SELB,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1453687/000114036126024556/0001140361-26-024556-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1453687/000114036126024556/ef20075770_ex99-1.htm,False,
RNAC,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1453687/000114036126024556/0001140361-26-024556-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1453687/000114036126024556/ef20075770_8k.htm,False,
RNAC,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1453687/000114036126024556/0001140361-26-024556-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1453687/000114036126024556/ef20075770_ex99-1.htm,False,
TITN,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1409171/000162828026041762/0001628280-26-041762-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1409171/000162828026041762/titn-20260609.htm,False,
TITN,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1409171/000162828026041762/0001628280-26-041762-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1409171/000162828026041762/afy27q1ex991earningsrelease.htm,False,
SJM,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/91419/000009141926000047/0000091419-26-000047-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/91419/000009141926000047/sjm-20260609.htm,False,
SJM,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/91419/000009141926000047/0000091419-26-000047-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/91419/000009141926000047/sjm06092026exhibit991.htm,False,
BPSR,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/0001829126-26-006218-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/zeoscientifix_8k.htm,False,
BPSR,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/0001829126-26-006218-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/zeoscientifix_ex99-1.htm,False,
ZEOX,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/0001829126-26-006218-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/zeoscientifix_8k.htm,False,
ZEOX,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/0001829126-26-006218-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/zeoscientifix_ex99-1.htm,False,
OCEL,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/0001829126-26-006218-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/zeoscientifix_8k.htm,False,
OCEL,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/0001829126-26-006218-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1557376/000182912626006218/zeoscientifix_ex99-1.htm,False,
NUVL,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1861560/000119312526262950/0001193125-26-262950-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1861560/000119312526262950/d137459d8k.htm,True,
NUVL,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1861560/000119312526262950/0001193125-26-262950-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1861560/000119312526262950/d137459dex101.htm,False,
NUVL,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1861560/000119312526262950/0001193125-26-262950-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1861560/000119312526262950/d137459dex991.htm,False,
