symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
ADTX,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/0001213900-26-067421-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/ea0294307-8k_aditxt.htm,True,
ADTX,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/0001213900-26-067421-index.htm,EX-10.1,FORM OF SELLER SUPPORT AGREEMENT,https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/ea029430701ex10-1.htm,False,
ADTX,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/0001213900-26-067421-index.htm,EX-10.2,"AMENDMENT TO LETTER AGREEMENT, DATED AS OF JUNE 10, 2026, BY AND AMONG COPLEY AC",https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/ea029430701ex10-2.htm,False,
ADTX,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/0001213900-26-067421-index.htm,EX-99.1,"PRESS RELEASE, DATED JUNE 9, 2026",https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/ea029430701ex99-1.htm,False,
BHR,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/0001574085-26-000098-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/bhr-20260604.htm,True,
BHR-PB,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/0001574085-26-000098-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/bhr-20260604.htm,True,
BHR-PD,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/0001574085-26-000098-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/bhr-20260604.htm,True,
CGCTW,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_8k.htm,True,
CGCTW,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,EX-10.1,EXHIBIT 10.1,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_ex10-1.htm,False,
CGCTW,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_ex99-1.htm,False,
CGCT,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_8k.htm,True,
CGCT,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,EX-10.1,EXHIBIT 10.1,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_ex10-1.htm,False,
CGCT,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_ex99-1.htm,False,
CGCTU,2026-06-10 00:00:00,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_8k.htm,True,
