symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
ATSPW,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/0001213900-26-097712-index.htm,EX-99.1,"PRESS RELEASE ISSUED BY SOUNDHOUND DATED SEPTEMBER 4, 2026",https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/ea030469101ex99-1.htm,False,
ATSPU,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/0001213900-26-097712-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/ea0304691-8k_sound.htm,True,
ATSPU,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/0001213900-26-097712-index.htm,EX-10.2,"REGISTRATION RIGHTS AGREEMENT, DATED SEPTEMBER 2, 2026, BY AND AMONG SOUNDHOUND",https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/ea030469101ex10-2.htm,False,
ATSPU,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/0001213900-26-097712-index.htm,EX-99.1,"PRESS RELEASE ISSUED BY SOUNDHOUND DATED SEPTEMBER 4, 2026",https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/ea030469101ex99-1.htm,False,
FAVO,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/0001795851-26-000010-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/swrd-20260902.htm,True,
FAVO,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/0001795851-26-000010-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/stewardsincpromissorynote1.htm,False,
FAVO,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/0001795851-26-000010-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/securityagreement9226.htm,False,
SWRD,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/0001795851-26-000010-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/swrd-20260902.htm,True,
SWRD,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/0001795851-26-000010-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/stewardsincpromissorynote1.htm,False,
SWRD,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/0001795851-26-000010-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1795851/000179585126000010/securityagreement9226.htm,False,
WFTUF,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1603923/000160392326000108/0001603923-26-000108-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1603923/000160392326000108/wft-20260904.htm,False,
WFRD,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1603923/000160392326000108/0001603923-26-000108-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1603923/000160392326000108/wft-20260904.htm,False,
AIRTW,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/airt-20260904.htm,True,
AIRTW,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/a101amendmentno7tocredit.htm,True,
AIRTW,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/a102arrevolvingcreditnot.htm,True,
AIRT,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/airt-20260904.htm,True,
AIRT,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/a101amendmentno7tocredit.htm,True,
AIRT,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/a102arrevolvingcreditnot.htm,True,
AIRTP,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/airt-20260904.htm,True,
AIRTP,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/a101amendmentno7tocredit.htm,True,
AIRTP,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/0000353184-26-000098-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/353184/000035318426000098/a102arrevolvingcreditnot.htm,True,
APM,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1734005/000121390026097705/0001213900-26-097705-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1734005/000121390026097705/ea0304290-8k_nikibio.htm,False,
APM,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1734005/000121390026097705/0001213900-26-097705-index.htm,EX-10.1,"APPOINTMENT LETTER FOR IAN HUEN, DATED AUGUST 1, 2026",https://www.sec.gov/Archives/edgar/data/1734005/000121390026097705/ea030429001ex10-1.htm,False,
APM,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1734005/000121390026097705/0001213900-26-097705-index.htm,EX-10.2,"EMPLOYMENT AGREEMENT BETWEEN ALIDAD MIRESKANDARI AND NIKI BIOSOLUTIONS, INC DATE",https://www.sec.gov/Archives/edgar/data/1734005/000121390026097705/ea030429001ex10-2.htm,False,
ALRN,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1420565/000119312526383726/0001193125-26-383726-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1420565/000119312526383726/d111215d8k.htm,False,
ALRN,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1420565/000119312526383726/0001193125-26-383726-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1420565/000119312526383726/d111215dex991.htm,False,
RNTX,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1420565/000119312526383726/0001193125-26-383726-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1420565/000119312526383726/d111215d8k.htm,False,
RNTX,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1420565/000119312526383726/0001193125-26-383726-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1420565/000119312526383726/d111215dex991.htm,False,
GLW,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/24741/000120677426000517/0001206774-26-000517-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/24741/000120677426000517/glw4684541-8k.htm,False,
ACA,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1739445/000114036126035795/0001140361-26-035795-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1739445/000114036126035795/ef20081570_8k.htm,False,
SPHA,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/2030829/000121390026097703/0001213900-26-097703-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2030829/000121390026097703/ea0304675-8k_pantages.htm,False,
SPHAU,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/2030829/000121390026097703/0001213900-26-097703-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2030829/000121390026097703/ea0304675-8k_pantages.htm,False,
AIFER,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/2030829/000121390026097703/0001213900-26-097703-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2030829/000121390026097703/ea0304675-8k_pantages.htm,False,
