symbol,filingDate,filing_detail_url,document_type
None,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2066337/000199937126011367/0001999371-26-011367-index.htm,8-K
POLA,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1622345/000149315226025091/0001493152-26-025091-index.htm,8-K
LVWR-WT,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1898795/000119312526237206/0001193125-26-237206-index.htm,8-K
LVWR,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1898795/000119312526237206/0001193125-26-237206-index.htm,8-K
DPDW,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1110607/000168316826004277/0001683168-26-004277-index.htm,8-K
APUR,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2093524/000121390026060674/0001213900-26-060674-index.htm,8-K
JAGX,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1585608/000119312526237195/0001193125-26-237195-index.htm,8-K
IMII,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1416090/000149315226025081/0001493152-26-025081-index.htm,8-K
BSAI,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1416090/000149315226025081/0001493152-26-025081-index.htm,8-K
VHNAU,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1868640/000149315226025079/0001493152-26-025079-index.htm,8-K
VHNA,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1868640/000149315226025079/0001493152-26-025079-index.htm,8-K
RDZN,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1868640/000149315226025079/0001493152-26-025079-index.htm,8-K
VHNAW,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1868640/000149315226025079/0001493152-26-025079-index.htm,8-K
SITM,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1451809/000119312526237180/0001193125-26-237180-index.htm,8-K
FOXO,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1812360/000149315226025076/0001493152-26-025076-index.htm,8-K
DWIN-WT,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1812360/000149315226025076/0001493152-26-025076-index.htm,8-K
FOXO-WT,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1812360/000149315226025076/0001493152-26-025076-index.htm,8-K
DWIN-UN,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1812360/000149315226025076/0001493152-26-025076-index.htm,8-K
DWIN,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1812360/000149315226025076/0001493152-26-025076-index.htm,8-K
AVR,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2011514/000114036126022633/0001140361-26-022633-index.htm,8-K
SOYB,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1471824/000143774926018283/0001437749-26-018283-index.htm,8-K
TAGS,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1471824/000143774926018283/0001437749-26-018283-index.htm,8-K
WEAT,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1471824/000143774926018283/0001437749-26-018283-index.htm,8-K
CORN,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1471824/000143774926018283/0001437749-26-018283-index.htm,8-K
DEFI,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1471824/000143774926018283/0001437749-26-018283-index.htm,8-K
CANE,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1471824/000143774926018283/0001437749-26-018283-index.htm,8-K
VNRX,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/93314/000147793226003416/0001477932-26-003416-index.htm,8-K
AKAM,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1086222/000119312526237084/0001193125-26-237084-index.htm,8-K
CLNNW,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1822791/000143774926018267/0001437749-26-018267-index.htm,8-K
CLNN,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1822791/000143774926018267/0001437749-26-018267-index.htm,8-K
PEP,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/77476/000110465926065758/0001104659-26-065758-index.htm,8-K
None,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2088626/000149315226025041/0001493152-26-025041-index.htm,8-K
CLTX,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1541157/000149315226025037/0001493152-26-025037-index.htm,8-K
AKTX,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1541157/000149315226025037/0001493152-26-025037-index.htm,8-K
GIPR,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1651721/000119312526237019/0001193125-26-237019-index.htm,8-K
GIPRW,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1651721/000119312526237019/0001193125-26-237019-index.htm,8-K
GIPR,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1651721/000119312526237015/0001193125-26-237015-index.htm,8-K
GIPRW,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1651721/000119312526237015/0001193125-26-237015-index.htm,8-K
BKV,2026-05-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1838406/000110465926065750/0001104659-26-065750-index.htm,8-K
