symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
AIM,0000946644,2026-06-10 00:00:00,2026-06-10 16:59:15,8-K,False,https://www.sec.gov/Archives/edgar/data/946644/000149315226028129/0001493152-26-028129-index.htm,https://www.sec.gov/Archives/edgar/data/946644/000149315226028129/form8-k.htm
RCRT,0001462223,2026-06-10 00:00:00,2026-06-10 16:59:02,8-K,False,https://www.sec.gov/Archives/edgar/data/1462223/000168316826004709/0001683168-26-004709-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000168316826004709/nixxy_8k.htm
RCRTW,0001462223,2026-06-10 00:00:00,2026-06-10 16:59:02,8-K,False,https://www.sec.gov/Archives/edgar/data/1462223/000168316826004709/0001683168-26-004709-index.htm,https://www.sec.gov/Archives/edgar/data/1462223/000168316826004709/nixxy_8k.htm
None,0001921603,2026-06-10 00:00:00,2026-06-10 16:58:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1921603/000119312526266010/0001193125-26-266010-index.htm,https://www.sec.gov/Archives/edgar/data/1921603/000119312526266010/d150033d8k.htm
BIIB,0000875045,2026-06-10 00:00:00,2026-06-10 16:54:22,8-K,False,https://www.sec.gov/Archives/edgar/data/875045/000095015726000700/0000950157-26-000700-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095015726000700/form8-k.htm
YOU,0001856314,2026-06-10 00:00:00,2026-06-10 16:53:01,8-K,False,https://www.sec.gov/Archives/edgar/data/1856314/000185631426000020/0001856314-26-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1856314/000185631426000020/you-20260610.htm
FIGR,0002064124,2026-06-10 00:00:00,2026-06-10 16:52:13,8-K,False,https://www.sec.gov/Archives/edgar/data/2064124/000149315226028126/0001493152-26-028126-index.htm,https://www.sec.gov/Archives/edgar/data/2064124/000149315226028126/form8-k.htm
HNI,0000048287,2026-06-10 00:00:00,2026-06-10 16:51:34,8-K,False,https://www.sec.gov/Archives/edgar/data/48287/000095010326008782/0000950103-26-008782-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000095010326008782/dp248223_8k.htm
CME,0001156375,2026-06-10 00:00:00,2026-06-10 16:50:48,8-K,False,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000035/0001156375-26-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000035/cme-20260609.htm
OPFI,0001818502,2026-06-10 00:00:00,2026-06-10 16:50:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1818502/000181850226000061/0001818502-26-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1818502/000181850226000061/opfi-20260609.htm
OPFI-WT,0001818502,2026-06-10 00:00:00,2026-06-10 16:50:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1818502/000181850226000061/0001818502-26-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1818502/000181850226000061/opfi-20260609.htm
FGNA,0001818502,2026-06-10 00:00:00,2026-06-10 16:50:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1818502/000181850226000061/0001818502-26-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1818502/000181850226000061/opfi-20260609.htm
None,0001713407,2026-06-10 00:00:00,2026-06-10 16:49:47,8-K,False,https://www.sec.gov/Archives/edgar/data/1713407/000171340726000062/0001713407-26-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1713407/000171340726000062/bra-20260609.htm
PPTA,0001526243,2026-06-10 00:00:00,2026-06-10 16:49:01,8-K,False,https://www.sec.gov/Archives/edgar/data/1526243/000110465926072399/0001104659-26-072399-index.htm,https://www.sec.gov/Archives/edgar/data/1526243/000110465926072399/tm2617039d1_8k.htm
None,0001853868,2026-06-10 00:00:00,2026-06-10 16:48:11,8-K,False,https://www.sec.gov/Archives/edgar/data/1853868/000162828026042278/0001628280-26-042278-index.htm,https://www.sec.gov/Archives/edgar/data/1853868/000162828026042278/frvo-form8xkitem502lwdraft.htm
SLDE,0001886428,2026-06-10 00:00:00,2026-06-10 16:45:41,8-K,False,https://www.sec.gov/Archives/edgar/data/1886428/000119312526265969/0001193125-26-265969-index.htm,https://www.sec.gov/Archives/edgar/data/1886428/000119312526265969/slde-20260610.htm
ATEX,0001304492,2026-06-10 00:00:00,2026-06-10 16:45:25,8-K,True,https://www.sec.gov/Archives/edgar/data/1304492/000130449226000024/0001304492-26-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449226000024/atex-20260331xpressrelease.htm
GTES,0001718512,2026-06-10 00:00:00,2026-06-10 16:44:43,8-K,False,https://www.sec.gov/Archives/edgar/data/1718512/000162828026042272/0001628280-26-042272-index.htm,https://www.sec.gov/Archives/edgar/data/1718512/000162828026042272/gtes-20260604.htm
BYNOU,0001801417,2026-06-10 00:00:00,2026-06-10 16:44:02,8-K,False,https://www.sec.gov/Archives/edgar/data/1801417/000121390026067371/0001213900-26-067371-index.htm,https://www.sec.gov/Archives/edgar/data/1801417/000121390026067371/ea0294259-8k_bynordic.htm
BYNO,0001801417,2026-06-10 00:00:00,2026-06-10 16:44:02,8-K,False,https://www.sec.gov/Archives/edgar/data/1801417/000121390026067371/0001213900-26-067371-index.htm,https://www.sec.gov/Archives/edgar/data/1801417/000121390026067371/ea0294259-8k_bynordic.htm
BYNOW,0001801417,2026-06-10 00:00:00,2026-06-10 16:44:02,8-K,False,https://www.sec.gov/Archives/edgar/data/1801417/000121390026067371/0001213900-26-067371-index.htm,https://www.sec.gov/Archives/edgar/data/1801417/000121390026067371/ea0294259-8k_bynordic.htm
None,0002030781,2026-06-10 00:00:00,2026-06-10 16:42:25,8-K,False,https://www.sec.gov/Archives/edgar/data/2030781/000203078126000013/0002030781-26-000013-index.htm,https://www.sec.gov/Archives/edgar/data/2030781/000203078126000013/sail-20260604.htm
CACC,0000885550,2026-06-10 00:00:00,2026-06-10 16:40:18,8-K,False,https://www.sec.gov/Archives/edgar/data/885550/000088555026000130/0000885550-26-000130-index.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555026000130/cacc-20260605.htm
PCSC,0002017526,2026-06-10 00:00:00,2026-06-10 16:36:58,8-K,False,https://www.sec.gov/Archives/edgar/data/2017526/000114036126024795/0001140361-26-024795-index.htm,https://www.sec.gov/Archives/edgar/data/2017526/000114036126024795/ef20075826_8k.htm
NTLA,0001652130,2026-06-10 00:00:00,2026-06-10 16:36:13,8-K,False,https://www.sec.gov/Archives/edgar/data/1652130/000119312526265934/0001193125-26-265934-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000119312526265934/ntla-20260609.htm
SNBR,0000827187,2026-06-10 00:00:00,2026-06-10 16:35:18,8-K,False,https://www.sec.gov/Archives/edgar/data/827187/000082718726000050/0000827187-26-000050-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718726000050/snbr-20260604.htm
FITBO,0000035527,2026-06-10 00:00:00,2026-06-10 16:34:19,8-K,False,https://www.sec.gov/Archives/edgar/data/35527/000119312526265928/0001193125-26-265928-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312526265928/d129179d8k.htm
FITB,0000035527,2026-06-10 00:00:00,2026-06-10 16:34:19,8-K,False,https://www.sec.gov/Archives/edgar/data/35527/000119312526265928/0001193125-26-265928-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312526265928/d129179d8k.htm
