symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
PGIM,0001923622,2026-09-24 00:00:00,2026-09-24 17:30:42,8-K,False,https://www.sec.gov/Archives/edgar/data/1923622/000119312526401226/0001193125-26-401226-index.htm,https://www.sec.gov/Archives/edgar/data/1923622/000119312526401226/ck0001923622-20260918.htm
GAME,0001714562,2026-09-24 00:00:00,2026-09-24 17:28:18,8-K,False,https://www.sec.gov/Archives/edgar/data/1714562/000149315226044197/0001493152-26-044197-index.htm,https://www.sec.gov/Archives/edgar/data/1714562/000149315226044197/form8-k.htm
TALO,0001724965,2026-09-24 00:00:00,2026-09-24 17:27:38,8-K,False,https://www.sec.gov/Archives/edgar/data/1724965/000119312526401182/0001193125-26-401182-index.htm,https://www.sec.gov/Archives/edgar/data/1724965/000119312526401182/talo-20260922.htm
AMC,0001411579,2026-09-24 00:00:00,2026-09-24 17:25:33,8-K,False,https://www.sec.gov/Archives/edgar/data/1411579/000110465926110465/0001104659-26-110465-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000110465926110465/tm2625696d4_8k.htm
APE,0001411579,2026-09-24 00:00:00,2026-09-24 17:25:33,8-K,False,https://www.sec.gov/Archives/edgar/data/1411579/000110465926110465/0001104659-26-110465-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000110465926110465/tm2625696d4_8k.htm
None,0002134688,2026-09-24 00:00:00,2026-09-24 17:22:42,8-K,False,https://www.sec.gov/Archives/edgar/data/2134688/000110465926110464/0001104659-26-110464-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000110465926110464/tm2625144d25_8k.htm
SYY,0000096021,2026-09-24 00:00:00,2026-09-24 17:22:42,8-K,False,https://www.sec.gov/Archives/edgar/data/96021/000110465926110464/0001104659-26-110464-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000110465926110464/tm2625144d25_8k.htm
AESI,0001984060,2026-09-24 00:00:00,2026-09-24 17:22:29,8-K,False,https://www.sec.gov/Archives/edgar/data/1984060/000119312526401172/0001193125-26-401172-index.htm,https://www.sec.gov/Archives/edgar/data/1984060/000119312526401172/aesi-20260918.htm
DRI,0000940944,2026-09-24 00:00:00,2026-09-24 17:20:32,8-K,False,https://www.sec.gov/Archives/edgar/data/940944/000094094426000035/0000940944-26-000035-index.htm,https://www.sec.gov/Archives/edgar/data/940944/000094094426000035/dri-20260923.htm
None,0001684682,2026-09-24 00:00:00,2026-09-24 17:15:34,8-K,False,https://www.sec.gov/Archives/edgar/data/1684682/000199937126021270/0001999371-26-021270-index.htm,https://www.sec.gov/Archives/edgar/data/1684682/000199937126021270/cnl-8k_092326.htm
VENU,0001770501,2026-09-24 00:00:00,2026-09-24 17:15:26,8-K,False,https://www.sec.gov/Archives/edgar/data/1770501/000149315226044181/0001493152-26-044181-index.htm,https://www.sec.gov/Archives/edgar/data/1770501/000149315226044181/form8-k.htm
IGAP,0001506983,2026-09-24 00:00:00,2026-09-24 17:15:26,8-K,False,https://www.sec.gov/Archives/edgar/data/1506983/000149315226044182/0001493152-26-044182-index.htm,https://www.sec.gov/Archives/edgar/data/1506983/000149315226044182/form8-k.htm
GCTK,0001506983,2026-09-24 00:00:00,2026-09-24 17:15:26,8-K,False,https://www.sec.gov/Archives/edgar/data/1506983/000149315226044182/0001493152-26-044182-index.htm,https://www.sec.gov/Archives/edgar/data/1506983/000149315226044182/form8-k.htm
VST,0001692819,2026-09-24 00:00:00,2026-09-24 17:13:57,8-K,False,https://www.sec.gov/Archives/edgar/data/1692819/000114036126037577/0001140361-26-037577-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000114036126037577/ef20082680_8k.htm
STKS,0001399520,2026-09-24 00:00:00,2026-09-24 17:12:21,8-K,False,https://www.sec.gov/Archives/edgar/data/1399520/000110465926110452/0001104659-26-110452-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000110465926110452/stks-20260922x8k.htm
ACAD,0001070494,2026-09-24 00:00:00,2026-09-24 17:11:07,8-K,False,https://www.sec.gov/Archives/edgar/data/1070494/000119312526401157/0001193125-26-401157-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312526401157/d168737d8k.htm
CTVA,0001755672,2026-09-24 00:00:00,2026-09-24 17:10:23,8-K,False,https://www.sec.gov/Archives/edgar/data/1755672/000119312526401156/0001193125-26-401156-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000119312526401156/d170896d8k.htm
CTA-PB,0000030554,2026-09-24 00:00:00,2026-09-24 17:10:23,8-K,False,https://www.sec.gov/Archives/edgar/data/30554/000119312526401156/0001193125-26-401156-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000119312526401156/d170896d8k.htm
CTA-PA,0000030554,2026-09-24 00:00:00,2026-09-24 17:10:23,8-K,False,https://www.sec.gov/Archives/edgar/data/30554/000119312526401156/0001193125-26-401156-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000119312526401156/d170896d8k.htm
KTB,0001760965,2026-09-24 00:00:00,2026-09-24 17:03:01,8-K,False,https://www.sec.gov/Archives/edgar/data/1760965/000176096526000064/0001760965-26-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1760965/000176096526000064/ktb-20260923.htm
SSGC,0001584693,2026-09-24 00:00:00,2026-09-24 17:00:41,8-K,False,https://www.sec.gov/Archives/edgar/data/1584693/000149315226044166/0001493152-26-044166-index.htm,https://www.sec.gov/Archives/edgar/data/1584693/000149315226044166/form8-k.htm
HITC,0001584693,2026-09-24 00:00:00,2026-09-24 17:00:41,8-K,False,https://www.sec.gov/Archives/edgar/data/1584693/000149315226044166/0001493152-26-044166-index.htm,https://www.sec.gov/Archives/edgar/data/1584693/000149315226044166/form8-k.htm
ROK,0001024478,2026-09-24 00:00:00,2026-09-24 17:00:15,8-K,False,https://www.sec.gov/Archives/edgar/data/1024478/000119312526401143/0001193125-26-401143-index.htm,https://www.sec.gov/Archives/edgar/data/1024478/000119312526401143/d155858d8k.htm
KTRA,0001498382,2026-09-24 00:00:00,2026-09-24 17:00:13,8-K,False,https://www.sec.gov/Archives/edgar/data/1498382/000119312526401140/0001193125-26-401140-index.htm,https://www.sec.gov/Archives/edgar/data/1498382/000119312526401140/hura-20260921.htm
HURA,0001498382,2026-09-24 00:00:00,2026-09-24 17:00:13,8-K,False,https://www.sec.gov/Archives/edgar/data/1498382/000119312526401140/0001193125-26-401140-index.htm,https://www.sec.gov/Archives/edgar/data/1498382/000119312526401140/hura-20260921.htm
UYSC,0002036973,2026-09-24 00:00:00,2026-09-24 17:00:11,8-K,False,https://www.sec.gov/Archives/edgar/data/2036973/000118518526004284/0001185185-26-004284-index.htm,https://www.sec.gov/Archives/edgar/data/2036973/000118518526004284/uysc8k425092326.htm
UYSCR,0002036973,2026-09-24 00:00:00,2026-09-24 17:00:11,8-K,False,https://www.sec.gov/Archives/edgar/data/2036973/000118518526004284/0001185185-26-004284-index.htm,https://www.sec.gov/Archives/edgar/data/2036973/000118518526004284/uysc8k425092326.htm
UYSCU,0002036973,2026-09-24 00:00:00,2026-09-24 17:00:11,8-K,False,https://www.sec.gov/Archives/edgar/data/2036973/000118518526004284/0001185185-26-004284-index.htm,https://www.sec.gov/Archives/edgar/data/2036973/000118518526004284/uysc8k425092326.htm
EFC-PE,0001411342,2026-09-24 00:00:00,2026-09-24 16:53:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/0001628280-26-063452-index.htm,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/efc-20260924.htm
EFC-PD,0001411342,2026-09-24 00:00:00,2026-09-24 16:53:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/0001628280-26-063452-index.htm,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/efc-20260924.htm
EFC,0001411342,2026-09-24 00:00:00,2026-09-24 16:53:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/0001628280-26-063452-index.htm,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/efc-20260924.htm
EFC-PA,0001411342,2026-09-24 00:00:00,2026-09-24 16:53:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/0001628280-26-063452-index.htm,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/efc-20260924.htm
EFC-PB,0001411342,2026-09-24 00:00:00,2026-09-24 16:53:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/0001628280-26-063452-index.htm,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/efc-20260924.htm
EFC-PC,0001411342,2026-09-24 00:00:00,2026-09-24 16:53:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/0001628280-26-063452-index.htm,https://www.sec.gov/Archives/edgar/data/1411342/000162828026063452/efc-20260924.htm
IRDM,0001418819,2026-09-24 00:00:00,2026-09-24 16:52:18,8-K,False,https://www.sec.gov/Archives/edgar/data/1418819/000095010326014464/0000950103-26-014464-index.htm,https://www.sec.gov/Archives/edgar/data/1418819/000095010326014464/dp253851_8k.htm
WTTR,0001693256,2026-09-24 00:00:00,2026-09-24 16:45:44,8-K,False,https://www.sec.gov/Archives/edgar/data/1693256/000110465926110440/0001104659-26-110440-index.htm,https://www.sec.gov/Archives/edgar/data/1693256/000110465926110440/tm2625939d1_8k.htm
AIG-PA,0000005272,2026-09-24 00:00:00,2026-09-24 16:44:43,8-K,False,https://www.sec.gov/Archives/edgar/data/5272/000110465926110438/0001104659-26-110438-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000110465926110438/tm2625844d1_8k.htm
AIG,0000005272,2026-09-24 00:00:00,2026-09-24 16:44:43,8-K,False,https://www.sec.gov/Archives/edgar/data/5272/000110465926110438/0001104659-26-110438-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000110465926110438/tm2625844d1_8k.htm
PRCT,0001588978,2026-09-24 00:00:00,2026-09-24 16:44:35,8-K,False,https://www.sec.gov/Archives/edgar/data/1588978/000158897826000034/0001588978-26-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1588978/000158897826000034/prct-20260923.htm
CRCW,0001688126,2026-09-24 00:00:00,2026-09-24 16:41:22,8-K,False,https://www.sec.gov/Archives/edgar/data/1688126/000149315226044159/0001493152-26-044159-index.htm,https://www.sec.gov/Archives/edgar/data/1688126/000149315226044159/form8-k.htm
BKRP,0001580095,2026-09-24 00:00:00,2026-09-24 16:39:26,8-K,False,https://www.sec.gov/Archives/edgar/data/1580095/000117152026000269/0001171520-26-000269-index.htm,https://www.sec.gov/Archives/edgar/data/1580095/000117152026000269/eps12861.htm
BNTC,0001808898,2026-09-24 00:00:00,2026-09-24 16:38:40,8-K,False,https://www.sec.gov/Archives/edgar/data/1808898/000119312526401110/0001193125-26-401110-index.htm,https://www.sec.gov/Archives/edgar/data/1808898/000119312526401110/bntc-20260918.htm
None,0001983514,2026-09-24 00:00:00,2026-09-24 16:37:26,8-K,False,https://www.sec.gov/Archives/edgar/data/1983514/000119312526401109/0001193125-26-401109-index.htm,https://www.sec.gov/Archives/edgar/data/1983514/000119312526401109/ck0001983514-20260922.htm
IBTA,0001538379,2026-09-24 00:00:00,2026-09-24 16:33:57,8-K,False,https://www.sec.gov/Archives/edgar/data/1538379/000162828026063400/0001628280-26-063400-index.htm,https://www.sec.gov/Archives/edgar/data/1538379/000162828026063400/ibta-20260922.htm
PNBK,0001098146,2026-09-24 00:00:00,2026-09-24 16:33:26,8-K,False,https://www.sec.gov/Archives/edgar/data/1098146/000143774926031152/0001437749-26-031152-index.htm,https://www.sec.gov/Archives/edgar/data/1098146/000143774926031152/pnbk20260923c_8k.htm
