symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
PED,0001141197,2026-07-17 00:00:00,2026-07-17 17:30:37,8-K,False,https://www.sec.gov/Archives/edgar/data/1141197/000165495426006724/0001654954-26-006724-index.htm,https://www.sec.gov/Archives/edgar/data/1141197/000165495426006724/ped_8k.htm
SOBR,0001425627,2026-07-17 00:00:00,2026-07-17 17:29:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1425627/000147793226004383/0001477932-26-004383-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793226004383/sobr_8k.htm
EXOD,0001821534,2026-07-17 00:00:00,2026-07-17 17:26:58,8-K,False,https://www.sec.gov/Archives/edgar/data/1821534/000119312526308023/0001193125-26-308023-index.htm,https://www.sec.gov/Archives/edgar/data/1821534/000119312526308023/d63529d8k.htm
DBGI,0001668010,2026-07-17 00:00:00,2026-07-17 17:25:14,8-K,False,https://www.sec.gov/Archives/edgar/data/1668010/000149315226033802/0001493152-26-033802-index.htm,https://www.sec.gov/Archives/edgar/data/1668010/000149315226033802/form8-k.htm
DBGIW,0001668010,2026-07-17 00:00:00,2026-07-17 17:25:14,8-K,False,https://www.sec.gov/Archives/edgar/data/1668010/000149315226033802/0001493152-26-033802-index.htm,https://www.sec.gov/Archives/edgar/data/1668010/000149315226033802/form8-k.htm
FISK,0001553079,2026-07-17 00:00:00,2026-07-17 17:23:13,8-K,True,https://www.sec.gov/Archives/edgar/data/1553079/000154140126000028/0001541401-26-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000154140126000028/firstamendmenttoamendedand.htm
ESBA,0001553079,2026-07-17 00:00:00,2026-07-17 17:23:13,8-K,True,https://www.sec.gov/Archives/edgar/data/1553079/000154140126000028/0001541401-26-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000154140126000028/firstamendmenttoamendedand.htm
ESRT,0001541401,2026-07-17 00:00:00,2026-07-17 17:23:13,8-K,True,https://www.sec.gov/Archives/edgar/data/1541401/000154140126000028/0001541401-26-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000154140126000028/firstamendmenttoamendedand.htm
OGCP,0001553079,2026-07-17 00:00:00,2026-07-17 17:23:13,8-K,True,https://www.sec.gov/Archives/edgar/data/1553079/000154140126000028/0001541401-26-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000154140126000028/firstamendmenttoamendedand.htm
SCCO,0001001838,2026-07-17 00:00:00,2026-07-17 17:23:00,8-K,False,https://www.sec.gov/Archives/edgar/data/1001838/000110465926084713/0001104659-26-084713-index.htm,https://www.sec.gov/Archives/edgar/data/1001838/000110465926084713/scco-20260529x8k.htm
SKYA,0001737995,2026-07-17 00:00:00,2026-07-17 17:19:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1737995/000149315226033796/0001493152-26-033796-index.htm,https://www.sec.gov/Archives/edgar/data/1737995/000149315226033796/form8-k.htm
STSS,0001737995,2026-07-17 00:00:00,2026-07-17 17:19:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1737995/000149315226033796/0001493152-26-033796-index.htm,https://www.sec.gov/Archives/edgar/data/1737995/000149315226033796/form8-k.htm
STSSW,0001737995,2026-07-17 00:00:00,2026-07-17 17:19:54,8-K,False,https://www.sec.gov/Archives/edgar/data/1737995/000149315226033796/0001493152-26-033796-index.htm,https://www.sec.gov/Archives/edgar/data/1737995/000149315226033796/form8-k.htm
BYND,0001655210,2026-07-17 00:00:00,2026-07-17 17:17:00,8-K,False,https://www.sec.gov/Archives/edgar/data/1655210/000119312526308001/0001193125-26-308001-index.htm,https://www.sec.gov/Archives/edgar/data/1655210/000119312526308001/d57467d8k.htm
None,0002087419,2026-07-17 00:00:00,2026-07-17 17:12:59,8-K,False,https://www.sec.gov/Archives/edgar/data/2087419/000110465926084695/0001104659-26-084695-index.htm,https://www.sec.gov/Archives/edgar/data/2087419/000110465926084695/tm2620728d1_8k.htm
SGH,0001616533,2026-07-17 00:00:00,2026-07-17 17:12:42,8-K,False,https://www.sec.gov/Archives/edgar/data/1616533/000119312526307989/0001193125-26-307989-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000119312526307989/d103073d8k.htm
PENG,0001616533,2026-07-17 00:00:00,2026-07-17 17:12:42,8-K,False,https://www.sec.gov/Archives/edgar/data/1616533/000119312526307989/0001193125-26-307989-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000119312526307989/d103073d8k.htm
None,0002143199,2026-07-17 00:00:00,2026-07-17 17:12:16,8-K,False,https://www.sec.gov/Archives/edgar/data/2143199/000153949726001974/0001539497-26-001974-index.htm,https://www.sec.gov/Archives/edgar/data/2143199/000153949726001974/n5995_x9-8k.htm
CTHRQ,0001015155,2026-07-17 00:00:00,2026-07-17 17:09:44,8-K,False,https://www.sec.gov/Archives/edgar/data/1015155/000110465926084692/0001104659-26-084692-index.htm,https://www.sec.gov/Archives/edgar/data/1015155/000110465926084692/tm2620775d1_8k.htm
CTHR,0001015155,2026-07-17 00:00:00,2026-07-17 17:09:44,8-K,False,https://www.sec.gov/Archives/edgar/data/1015155/000110465926084692/0001104659-26-084692-index.htm,https://www.sec.gov/Archives/edgar/data/1015155/000110465926084692/tm2620775d1_8k.htm
OXACU,0001861622,2026-07-17 00:00:00,2026-07-17 17:07:10,8-K,True,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/0001493152-26-033784-index.htm,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/ex99-3.htm
JTAIZ,0001861622,2026-07-17 00:00:00,2026-07-17 17:07:10,8-K,True,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/0001493152-26-033784-index.htm,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/ex99-3.htm
JTAI,0001861622,2026-07-17 00:00:00,2026-07-17 17:07:10,8-K,True,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/0001493152-26-033784-index.htm,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/ex99-3.htm
JTAIW,0001861622,2026-07-17 00:00:00,2026-07-17 17:07:10,8-K,True,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/0001493152-26-033784-index.htm,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/ex99-3.htm
OXAC,0001861622,2026-07-17 00:00:00,2026-07-17 17:07:10,8-K,True,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/0001493152-26-033784-index.htm,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/ex99-3.htm
OXACW,0001861622,2026-07-17 00:00:00,2026-07-17 17:07:10,8-K,True,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/0001493152-26-033784-index.htm,https://www.sec.gov/Archives/edgar/data/1861622/000149315226033784/ex99-3.htm
AFBI,0001823406,2026-07-17 00:00:00,2026-07-17 17:04:29,8-K,False,https://www.sec.gov/Archives/edgar/data/1823406/000094337426000270/0000943374-26-000270-index.htm,https://www.sec.gov/Archives/edgar/data/1823406/000094337426000270/afbi-20260717.htm
KPTI,0001503802,2026-07-17 00:00:00,2026-07-17 17:01:30,8-K,False,https://www.sec.gov/Archives/edgar/data/1503802/000119312526307964/0001193125-26-307964-index.htm,https://www.sec.gov/Archives/edgar/data/1503802/000119312526307964/d116036d8k.htm
None,0002020737,2026-07-17 00:00:00,2026-07-17 17:00:22,8-K,False,https://www.sec.gov/Archives/edgar/data/2020737/000149315226033777/0001493152-26-033777-index.htm,https://www.sec.gov/Archives/edgar/data/2020737/000149315226033777/form8-k.htm
SGU,0001002590,2026-07-17 00:00:00,2026-07-17 17:00:22,8-K,False,https://www.sec.gov/Archives/edgar/data/1002590/000119312526307960/0001193125-26-307960-index.htm,https://www.sec.gov/Archives/edgar/data/1002590/000119312526307960/sgu-20260716.htm
LHAI,0002017758,2026-07-17 00:00:00,2026-07-17 17:00:21,8-K,False,https://www.sec.gov/Archives/edgar/data/2017758/000121390026079237/0001213900-26-079237-index.htm,https://www.sec.gov/Archives/edgar/data/2017758/000121390026079237/ea0298396-8k_linkhome.htm
EMLDU,0001889123,2026-07-17 00:00:00,2026-07-17 17:00:15,8-K,False,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/0001193125-26-307957-index.htm,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/fld-20260714.htm
EMLDW,0001889123,2026-07-17 00:00:00,2026-07-17 17:00:15,8-K,False,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/0001193125-26-307957-index.htm,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/fld-20260714.htm
FLD,0001889123,2026-07-17 00:00:00,2026-07-17 17:00:15,8-K,False,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/0001193125-26-307957-index.htm,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/fld-20260714.htm
EMLD,0001889123,2026-07-17 00:00:00,2026-07-17 17:00:15,8-K,False,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/0001193125-26-307957-index.htm,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/fld-20260714.htm
FLDDU,0001889123,2026-07-17 00:00:00,2026-07-17 17:00:15,8-K,False,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/0001193125-26-307957-index.htm,https://www.sec.gov/Archives/edgar/data/1889123/000119312526307957/fld-20260714.htm
