symbol,filingDate,filing_detail_url,document_type
APCX,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1070050/000168316826005262/0001683168-26-005262-index.htm,8-K
APCXW,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1070050/000168316826005262/0001683168-26-005262-index.htm,8-K
TIPLX,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1551047/000139834426011663/0001398344-26-011663-index.htm,8-K
GMRE-PB,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1533615/000110465926080436/0001104659-26-080436-index.htm,8-K
GMRE,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1533615/000110465926080436/0001104659-26-080436-index.htm,8-K
GMRE-PA,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1533615/000110465926080436/0001104659-26-080436-index.htm,8-K
XRN,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1533615/000110465926080436/0001104659-26-080436-index.htm,8-K
EAST,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1534708/000149315226031971/0001493152-26-031971-index.htm,8-K
BLNE,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1534708/000149315226031971/0001493152-26-031971-index.htm,8-K
FATN,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1993400/000149315226031970/0001493152-26-031970-index.htm,8-K
CNM,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1856525/000119312526294978/0001193125-26-294978-index.htm,8-K
LFCR,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1005286/000100528626000026/0001005286-26-000026-index.htm,8-K
LNDC,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1005286/000100528626000026/0001005286-26-000026-index.htm,8-K
AVCO,2026-07-02 00:00:00,https://www.sec.gov/Archives/edgar/data/1630212/000121390026075090/0001213900-26-075090-index.htm,8-K
