symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
SURGW,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029648/0001493152-26-029648-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029648/form8-k.htm,False,
SURG,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029648/0001493152-26-029648-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029648/form8-k.htm,False,
SURGW,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/0001493152-26-029647-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/form8-k.htm,True,
SURGW,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/0001493152-26-029647-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/ex10-1.htm,False,
SURGW,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/0001493152-26-029647-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/ex10-2.htm,False,
SURG,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/0001493152-26-029647-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/form8-k.htm,True,
SURG,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/0001493152-26-029647-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/ex10-1.htm,False,
SURG,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/0001493152-26-029647-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1392694/000149315226029647/ex10-2.htm,False,
FLOC,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2035149/000119312526277725/0001193125-26-277725-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/2035149/000119312526277725/floc-20260622.htm,False,
CUBWW,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/0001213900-26-070714-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/ea0295407-8k_lionheart.htm,True,
CUBWW,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/0001213900-26-070714-index.htm,EX-10.1,FORM OF NON-REDEMPTION AGREEMENT,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/ea029540701ex10-1.htm,False,
CUB,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/0001213900-26-070714-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/ea0295407-8k_lionheart.htm,True,
CUB,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/0001213900-26-070714-index.htm,EX-10.1,FORM OF NON-REDEMPTION AGREEMENT,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/ea029540701ex10-1.htm,False,
CUBWU,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/0001213900-26-070714-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/ea0295407-8k_lionheart.htm,True,
CUBWU,2026-06-22 00:00:00,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/0001213900-26-070714-index.htm,EX-10.1,FORM OF NON-REDEMPTION AGREEMENT,https://www.sec.gov/Archives/edgar/data/2015955/000121390026070714/ea029540701ex10-1.htm,False,
