symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
VCKAW,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-20260718.htm,True,
VCKAW,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-ex10_1.htm,False,
VCKAU,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-20260718.htm,True,
VCKAU,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-ex10_1.htm,False,
SCLX,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-20260718.htm,True,
SCLX,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-ex10_1.htm,False,
SCLXW,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-20260718.htm,True,
SCLXW,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-ex10_1.htm,False,
VCKA,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-20260718.htm,True,
VCKA,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/0001193125-26-312591-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526312591/sclx-ex10_1.htm,False,
BHSEW,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003094/0001185185-26-003094-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003094/zsqr8k072126.htm,False,
BHSEW,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003094/0001185185-26-003094-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003094/zsqrex99-1.htm,False,
COEP,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003094/0001185185-26-003094-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003094/zsqr8k072126.htm,False,
COEP,2026-07-22 00:00:00,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003094/0001185185-26-003094-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003094/zsqrex99-1.htm,False,
