anchor date,symbol,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
2026-07-01,CABO,53.26,4.14,2026-07-02,53.3,46.46,48.91,-8.17,47.93,True,45.27,,42.61,,36.42,,33.2,,30.27,
2026-07-01,CABO,53.26,4.14,2026-07-07,46.86,42.58,42.63,-19.96,47.93,True,45.27,True,42.61,True,33.2,,30.27,,27.6,
2026-07-01,OWLT,6.16,4.3,2026-07-07,5.85,5.51,5.63,-8.6,5.54,True,5.24,,4.93,,3.5,,3.18,,2.89,
2026-07-01,WHR,40.17,2.32,2026-07-08,37.0,36.01,37.67,-6.22,36.15,True,34.14,,32.14,,33.85,,32.14,,30.51,
2026-07-01,WNC,13.25,2.83,2026-07-15,11.94,11.5,12.64,-4.6,11.92,True,11.26,,10.6,,7.82,,7.34,,6.89,
2026-06-01,BRBR,9.06,2.49,2026-06-02,9.06,8.88,9.04,-0.22,8.15,,7.7,,7.25,,14.69,True,13.9,True,13.14,True
2026-06-01,BRBR,9.06,2.49,2026-06-03,8.9,8.57,8.86,-2.21,8.15,,7.7,,7.25,,9.0,True,8.52,,8.06,
2026-06-01,BRBR,9.06,2.49,2026-06-04,9.11,8.56,8.69,-4.08,8.15,,7.7,,7.25,,9.39,True,8.88,True,8.4,
2026-06-01,BRBR,9.06,2.49,2026-06-08,8.45,7.82,7.9,-12.8,8.15,True,7.7,,7.25,,8.72,True,8.25,True,7.81,
2026-06-01,BRBR,9.06,2.49,2026-06-09,7.9,7.89,8.43,-6.95,8.15,True,7.7,,7.25,,7.95,True,7.52,,7.12,
2026-06-01,CLW,16.6,2.45,2026-07-13,15.84,14.92,15.19,-8.49,14.94,True,14.11,,13.28,,14.0,,13.25,,12.54,
2026-06-01,CULP,3.15,1.91,2026-06-04,3.22,3.15,3.19,1.27,2.84,,2.68,,2.52,,3.16,True,3.03,,2.9,
2026-06-01,FOXF,17.79,2.75,2026-06-30,17.2,15.68,16.95,-4.72,16.01,True,15.12,,14.23,,14.8,,13.91,,13.08,
2026-06-01,KRO,6.99,3.5,2026-06-24,6.52,6.26,6.56,-6.15,6.29,True,5.94,,5.59,,5.45,,5.04,,4.66,
2026-06-01,KRO,6.99,3.5,2026-07-06,6.04,5.82,5.84,-16.45,6.29,True,5.94,True,5.59,,5.42,,5.01,,4.64,
2026-06-01,QDEL,13.27,3.78,2026-06-23,12.16,11.93,11.94,-10.02,11.94,True,11.28,,10.62,,9.2,,8.46,,7.77,
2026-06-01,SHLS,12.18,4.52,2026-06-05,12.36,10.53,10.81,-11.25,10.96,True,10.35,,9.74,,5.79,,5.23,,4.73,
2026-06-01,SHLS,12.18,4.52,2026-06-09,11.05,9.2,9.63,-20.94,10.96,True,10.35,True,9.74,True,6.88,,6.22,,5.62,
2026-06-01,SHLS,12.18,4.52,2026-06-12,10.07,9.99,10.43,-14.37,10.96,True,10.35,True,9.74,,6.85,,6.19,,5.6,
2026-06-01,SHLS,12.18,4.52,2026-06-26,9.56,8.94,9.0,-26.11,10.96,True,10.35,True,9.74,True,9.01,True,8.14,,7.36,
