symbol,sigma (%),date,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5,open,low,close,volume
BRBR,2.49,2026-06-02,-0.22,8.15,,7.7,,7.25,,14.69,True,13.9,True,13.14,True,9.06,8.88,9.04,4631947
BRBR,2.49,2026-06-03,-2.21,8.15,,7.7,,7.25,,9.0,True,8.52,,8.06,,8.9,8.57,8.86,4090500
BRBR,2.49,2026-06-04,-4.08,8.15,,7.7,,7.25,,9.39,True,8.88,True,8.4,,9.11,8.56,8.69,3858525
BRBR,2.49,2026-06-08,-12.8,8.15,True,7.7,,7.25,,8.72,True,8.25,True,7.81,,8.45,7.82,7.9,7477141
BRBR,2.49,2026-06-09,-6.95,8.15,True,7.7,,7.25,,7.95,True,7.52,,7.12,,7.9,7.89,8.43,6599618
CLW,2.45,2026-07-13,-8.49,14.94,True,14.11,,13.28,,14.0,,13.25,,12.54,,15.84,14.92,15.19,255865
CULP,1.91,2026-06-04,1.27,2.84,,2.68,,2.52,,3.16,True,3.03,,2.9,,3.22,3.15,3.19,17600
FOXF,2.75,2026-06-30,-4.72,16.01,True,15.12,,14.23,,14.8,,13.91,,13.08,,17.2,15.68,16.95,1344200
KRO,3.5,2026-06-24,-6.15,6.29,True,5.94,,5.59,,5.45,,5.04,,4.66,,6.52,6.26,6.56,364805
KRO,3.5,2026-07-06,-16.45,6.29,True,5.94,True,5.59,,5.42,,5.01,,4.64,,6.04,5.82,5.84,235700
QDEL,3.78,2026-06-23,-10.02,11.94,True,11.28,,10.62,,9.2,,8.46,,7.77,,12.16,11.93,11.94,1141700
SHLS,4.52,2026-06-05,-11.25,10.96,True,10.35,,9.74,,5.79,,5.23,,4.73,,12.36,10.53,10.81,7062206
SHLS,4.52,2026-06-09,-20.94,10.96,True,10.35,True,9.74,True,6.88,,6.22,,5.62,,11.05,9.2,9.63,6530500
SHLS,4.52,2026-06-12,-14.37,10.96,True,10.35,True,9.74,,6.85,,6.19,,5.6,,10.07,9.99,10.43,5636472
SHLS,4.52,2026-06-26,-26.11,10.96,True,10.35,True,9.74,True,9.01,True,8.14,,7.36,,9.56,8.94,9.0,10598333
