symbol,filingDate,filing_detail_url,document_type
VVOS,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1716166/000149315226035867/0001493152-26-035867-index.htm,8-K
CAPS,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/887151/000143774926025475/0001437749-26-025475-index.htm,8-K
WAVS,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226035854/0001493152-26-035854-index.htm,8-K
WAVSU,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226035854/0001493152-26-035854-index.htm,8-K
WAVSW,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226035854/0001493152-26-035854-index.htm,8-K
CYCU,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226035854/0001493152-26-035854-index.htm,8-K
CYCUW,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226035854/0001493152-26-035854-index.htm,8-K
SEII,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/819926/000147793226004679/0001477932-26-004679-index.htm,8-K
MBRX,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1659617/000143774926025474/0001437749-26-025474-index.htm,8-K
None,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/2130606/000119312526330810/0001193125-26-330810-index.htm,8-K
LGMK,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1566826/000121390026084705/0001213900-26-084705-index.htm,8-K
NXTD,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1566826/000121390026084705/0001213900-26-084705-index.htm,8-K
GPMT,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1703644/000170364426000026/0001703644-26-000026-index.htm,8-K
GPMT-PA,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1703644/000170364426000026/0001703644-26-000026-index.htm,8-K
VENU,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1770501/000149315226035846/0001493152-26-035846-index.htm,8-K
IPAXW,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1844452/000119312526330778/0001193125-26-330778-index.htm,8-K
LUNR,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1844452/000119312526330778/0001193125-26-330778-index.htm,8-K
IPAX,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1844452/000119312526330778/0001193125-26-330778-index.htm,8-K
IPAXU,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1844452/000119312526330778/0001193125-26-330778-index.htm,8-K
KNW,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1074828/000107482826000058/0001074828-26-000058-index.htm,8-K
KNWN,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1074828/000107482826000058/0001074828-26-000058-index.htm,8-K
USBC,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1074828/000107482826000058/0001074828-26-000058-index.htm,8-K
TRIP,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1526520/000119312526330742/0001193125-26-330742-index.htm,8-K
VNTH,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1497130/000190359626000287/0001903596-26-000287-index.htm,8-K
NBRGU,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1918414/000121390026084680/0001213900-26-084680-index.htm,8-K
NBRG,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1918414/000121390026084680/0001213900-26-084680-index.htm,8-K
NBRGR,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1918414/000121390026084680/0001213900-26-084680-index.htm,8-K
NUWE,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1506492/000114036126030985/0001140361-26-030985-index.htm,8-K
ALZN,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1677077/000121465926009469/0001214659-26-009469-index.htm,8-K
AMRX,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1723128/000162828026051900/0001628280-26-051900-index.htm,8-K
FOA,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1828937/000162828026051897/0001628280-26-051897-index.htm,8-K
FOA-WT,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1828937/000162828026051897/0001628280-26-051897-index.htm,8-K
KFY,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/56679/000119312526330632/0001193125-26-330632-index.htm,8-K
BLNE,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1534708/000149315226035827/0001493152-26-035827-index.htm,8-K
EAST,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1534708/000149315226035827/0001493152-26-035827-index.htm,8-K
None,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/2114229/000121390026084616/0001213900-26-084616-index.htm,8-K
None,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/2112554/000119312526330466/0001193125-26-330466-index.htm,8-K
BSTG,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1563665/000143774926025423/0001437749-26-025423-index.htm,8-K
HRGN,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1563665/000143774926025423/0001437749-26-025423-index.htm,8-K
IVHI,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1009919/000168316826005918/0001683168-26-005918-index.htm,8-K
HSTA,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1813603/000168316826005916/0001683168-26-005916-index.htm,8-K
GTTJ,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1368757/000119312526330213/0001193125-26-330213-index.htm,8-K
CMTL,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/23197/000002319726000084/0000023197-26-000084-index.htm,8-K
DEFI,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1985840/000121390026084293/0001213900-26-084293-index.htm,8-K
BLRK,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/2081532/000121390026084282/0001213900-26-084282-index.htm,8-K
BLRKU,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/2081532/000121390026084282/0001213900-26-084282-index.htm,8-K
SNBR,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/827187/000095010326011603/0000950103-26-011603-index.htm,8-K
AIRI,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1009891/000121390026084279/0001213900-26-084279-index.htm,8-K
LRHC,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1879403/000121390026084275/0001213900-26-084275-index.htm,8-K
HCHC,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1006837/000100683726000053/0001006837-26-000053-index.htm,8-K
VATE,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1006837/000100683726000053/0001006837-26-000053-index.htm,8-K
BOW,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/2002473/000162828026051540/0001628280-26-051540-index.htm,8-K
EDBL,2026-08-03 00:00:00,https://www.sec.gov/Archives/edgar/data/1809750/000147793226004660/0001477932-26-004660-index.htm,8-K
