symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
AXP,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/4962/000000496226000338/0000004962-26-000338-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/4962/000000496226000338/axp-20260812.htm,False,
BSEM,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1658678/000119312526347211/0001193125-26-347211-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1658678/000119312526347211/bsem-20260812.htm,False,
BSEM,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1658678/000119312526347211/0001193125-26-347211-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1658678/000119312526347211/bsem-ex99_1.htm,False,
None,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1544190/000149315226037454/0001493152-26-037454-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1544190/000149315226037454/form8-k.htm,False,
None,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1109448/000110944826000201/0001109448-26-000201-index.htm,8-K,8-K ALLIANCEBERNSTEIN L.P.,https://www.sec.gov/Archives/edgar/data/1109448/000110944826000201/ab-20260812.htm,False,
SUNE,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea0301849-8k_sunation.htm,False,
SUNE,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,EX-99.1,"PRESS RELEASE DATED AUGUST 12, 2026",https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea030184901ex99-1.htm,False,
JCS,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea0301849-8k_sunation.htm,False,
JCS,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,EX-99.1,"PRESS RELEASE DATED AUGUST 12, 2026",https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea030184901ex99-1.htm,False,
PEGY,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea0301849-8k_sunation.htm,False,
PEGY,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/0001213900-26-088491-index.htm,EX-99.1,"PRESS RELEASE DATED AUGUST 12, 2026",https://www.sec.gov/Archives/edgar/data/22701/000121390026088491/ea030184901ex99-1.htm,False,
SLNCF,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/0001193125-26-347196-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/d168365d8k.htm,True,
SLNCF,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/0001193125-26-347196-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/d168365dex991.htm,False,
SLN,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/0001193125-26-347196-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/d168365d8k.htm,True,
SLN,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/0001193125-26-347196-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1479615/000119312526347196/d168365dex991.htm,False,
AB,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/825313/000082531326000053/0000825313-26-000053-index.htm,8-K,8-K ALLIANCEBERNSTEIN HOLDING L.P.,https://www.sec.gov/Archives/edgar/data/825313/000082531326000053/ab-20260812.htm,False,
LGTOU,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_8k.htm,False,
LGTOU,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_ex99-1.htm,False,
LGTOW,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_8k.htm,False,
LGTOW,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_ex99-1.htm,False,
SLND,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_8k.htm,False,
SLND,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_ex99-1.htm,False,
LGTO,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_8k.htm,False,
LGTO,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/0001829126-26-008712-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1883814/000182912626008712/southland_ex99-1.htm,False,
VCKA,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-20260808.htm,True,
VCKA,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-ex10_1.htm,False,
VCKAU,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-20260808.htm,True,
VCKAU,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-ex10_1.htm,False,
SCLXW,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-20260808.htm,True,
SCLXW,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-ex10_1.htm,False,
VCKAW,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-20260808.htm,True,
VCKAW,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-ex10_1.htm,False,
SCLX,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-20260808.htm,True,
SCLX,2026-08-12 00:00:00,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/0001193125-26-347186-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1820190/000119312526347186/sclx-ex10_1.htm,False,
