symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
COEPW,0001759186,2026-08-04 00:00:00,2026-08-04 17:29:59,8-K,False,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/0001185185-26-003263-index.htm,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/zsqr8k080426.htm
BHSEU,0001759186,2026-08-04 00:00:00,2026-08-04 17:29:59,8-K,False,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/0001185185-26-003263-index.htm,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/zsqr8k080426.htm
BHSE,0001759186,2026-08-04 00:00:00,2026-08-04 17:29:59,8-K,False,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/0001185185-26-003263-index.htm,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/zsqr8k080426.htm
COEP,0001759186,2026-08-04 00:00:00,2026-08-04 17:29:59,8-K,False,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/0001185185-26-003263-index.htm,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/zsqr8k080426.htm
BHSEW,0001759186,2026-08-04 00:00:00,2026-08-04 17:29:59,8-K,False,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/0001185185-26-003263-index.htm,https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/zsqr8k080426.htm
PLUS,0001022408,2026-08-04 00:00:00,2026-08-04 17:29:02,8-K,True,https://www.sec.gov/Archives/edgar/data/1022408/000114036126031282/0001140361-26-031282-index.htm,https://www.sec.gov/Archives/edgar/data/1022408/000114036126031282/ef20079242_ex99-1.htm
XPON,0001894954,2026-08-04 00:00:00,2026-08-04 17:28:57,8-K,False,https://www.sec.gov/Archives/edgar/data/1894954/000190359626000291/0001903596-26-000291-index.htm,https://www.sec.gov/Archives/edgar/data/1894954/000190359626000291/xpon_8k.htm
None,0002104391,2026-08-04 00:00:00,2026-08-04 17:28:43,8-K,True,https://www.sec.gov/Archives/edgar/data/2104391/000121390026085285/0001213900-26-085285-index.htm,https://www.sec.gov/Archives/edgar/data/2104391/000121390026085285/ea030021001ex99-1.htm
PFS,0001178970,2026-08-04 00:00:00,2026-08-04 17:27:15,8-K,False,https://www.sec.gov/Archives/edgar/data/1178970/000162828026052747/0001628280-26-052747-index.htm,https://www.sec.gov/Archives/edgar/data/1178970/000162828026052747/pfs-20260730.htm
SKLZ,0001801661,2026-08-04 00:00:00,2026-08-04 17:26:52,8-K,False,https://www.sec.gov/Archives/edgar/data/1801661/000180166126000084/0001801661-26-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1801661/000180166126000084/sklz-20260804.htm
FIRY,0001801661,2026-08-04 00:00:00,2026-08-04 17:26:52,8-K,False,https://www.sec.gov/Archives/edgar/data/1801661/000180166126000084/0001801661-26-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1801661/000180166126000084/sklz-20260804.htm
PCSA,0001533743,2026-08-04 00:00:00,2026-08-04 17:25:40,8-K,False,https://www.sec.gov/Archives/edgar/data/1533743/000149315226036032/0001493152-26-036032-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315226036032/form8-k.htm
CHUC,0001134765,2026-08-04 00:00:00,2026-08-04 17:24:13,8-K,False,https://www.sec.gov/Archives/edgar/data/1134765/000143774926025735/0001437749-26-025735-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000143774926025735/chuc20260804_8k.htm
FTFT,0001066923,2026-08-04 00:00:00,2026-08-04 17:23:43,8-K,False,https://www.sec.gov/Archives/edgar/data/1066923/000121390026085281/0001213900-26-085281-index.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390026085281/ea0300532-8k_future.htm
BAX,0000010456,2026-08-04 00:00:00,2026-08-04 17:22:22,8-K,False,https://www.sec.gov/Archives/edgar/data/10456/000119312526333134/0001193125-26-333134-index.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312526333134/d169940d8k.htm
None,0001612126,2026-08-04 00:00:00,2026-08-04 17:21:41,8-K,False,https://www.sec.gov/Archives/edgar/data/1612126/000153949726002091/0001539497-26-002091-index.htm,https://www.sec.gov/Archives/edgar/data/1612126/000153949726002091/n340_x12-8k.htm
NLITU,0001854963,2026-08-04 00:00:00,2026-08-04 17:21:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/0001493152-26-036028-index.htm,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/form8-k.htm
NLIT,0001854963,2026-08-04 00:00:00,2026-08-04 17:21:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/0001493152-26-036028-index.htm,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/form8-k.htm
NLITW,0001854963,2026-08-04 00:00:00,2026-08-04 17:21:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/0001493152-26-036028-index.htm,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/form8-k.htm
SHFS,0001854963,2026-08-04 00:00:00,2026-08-04 17:21:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/0001493152-26-036028-index.htm,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/form8-k.htm
SHFSW,0001854963,2026-08-04 00:00:00,2026-08-04 17:21:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/0001493152-26-036028-index.htm,https://www.sec.gov/Archives/edgar/data/1854963/000149315226036028/form8-k.htm
CPIX,0001087294,2026-08-04 00:00:00,2026-08-04 17:20:45,8-K,True,https://www.sec.gov/Archives/edgar/data/1087294/000108729426000058/0001087294-26-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1087294/000108729426000058/a2026q2-ex991er.htm
VIVK,0001450704,2026-08-04 00:00:00,2026-08-04 17:20:31,8-K,False,https://www.sec.gov/Archives/edgar/data/1450704/000182912626008337/0001829126-26-008337-index.htm,https://www.sec.gov/Archives/edgar/data/1450704/000182912626008337/vivakorinc_8k.htm
VSEE,0001864531,2026-08-04 00:00:00,2026-08-04 17:20:17,8-K,False,https://www.sec.gov/Archives/edgar/data/1864531/000118518526003262/0001185185-26-003262-index.htm,https://www.sec.gov/Archives/edgar/data/1864531/000118518526003262/vsee8k080426.htm
