symbol,filingDate,filing_detail_url,document_type
CNDT,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1677703/000167770326000069/0001677703-26-000069-index.htm,8-K
TLN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1622536/000162253626000042/0001622536-26-000042-index.htm,8-K
VERI,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1615165/000119312526234915/0001193125-26-234915-index.htm,8-K
GFOR-WT,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1845459/000121390026060160/0001213900-26-060160-index.htm,8-K
GFOR-UN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1845459/000121390026060160/0001213900-26-060160-index.htm,8-K
GFOR,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1845459/000121390026060160/0001213900-26-060160-index.htm,8-K
NKGNW,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1845459/000121390026060160/0001213900-26-060160-index.htm,8-K
NKGN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1845459/000121390026060160/0001213900-26-060160-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/2068385/000149315226024865/0001493152-26-024865-index.htm,8-K
RLAY,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1812364/000119312526234862/0001193125-26-234862-index.htm,8-K
SMHI,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1690334/000169033426000012/0001690334-26-000012-index.htm,8-K
HIMS,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1773751/000119312526234847/0001193125-26-234847-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1171040/000110465926065223/0001104659-26-065223-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1396730/000110465926065223/0001104659-26-065223-index.htm,8-K
HCWB,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1828673/000149315226024850/0001493152-26-024850-index.htm,8-K
NOEMU,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1956648/000121390026060119/0001213900-26-060119-index.htm,8-K
NOEM,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1956648/000121390026060119/0001213900-26-060119-index.htm,8-K
NOEMR,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1956648/000121390026060119/0001213900-26-060119-index.htm,8-K
NOEMW,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1956648/000121390026060119/0001213900-26-060119-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/2104882/000119312526234739/0001193125-26-234739-index.htm,8-K
TSCO,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/916365/000091636526000039/0000916365-26-000039-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1913724/000162828026037355/0001628280-26-037355-index.htm,8-K
KTB,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1760965/000176096526000035/0001760965-26-000035-index.htm,8-K
KHC,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1637459/000119312526234627/0001193125-26-234627-index.htm,8-K
ONTO,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/704532/000119312526234610/0001193125-26-234610-index.htm,8-K
HOTH,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1711786/000121390026060075/0001213900-26-060075-index.htm,8-K
VCTR,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1570827/000119312526234487/0001193125-26-234487-index.htm,8-K
TRINL,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1786108/000121390026060069/0001213900-26-060069-index.htm,8-K
TRINI,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1786108/000121390026060069/0001213900-26-060069-index.htm,8-K
TRIN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1786108/000121390026060069/0001213900-26-060069-index.htm,8-K
TRINZ,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1786108/000121390026060069/0001213900-26-060069-index.htm,8-K
GATX,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/40211/000119312526234463/0001193125-26-234463-index.htm,8-K
GMTA,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/40211/000119312526234463/0001193125-26-234463-index.htm,8-K
TRV,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/86312/000110465926065156/0001104659-26-065156-index.htm,8-K
ATXG,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1650101/000149315226024827/0001493152-26-024827-index.htm,8-K
HRYU,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1911545/000149315226024822/0001493152-26-024822-index.htm,8-K
PPTA,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1526243/000110465926065145/0001104659-26-065145-index.htm,8-K
GIA-UN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,8-K
GIA,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,8-K
GIA-WT,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,8-K
QTIWW,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,8-K
QTIH,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,8-K
QTI,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,8-K
ORCC,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1655888/000162828026037240/0001628280-26-037240-index.htm,8-K
OBDC,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1655888/000162828026037240/0001628280-26-037240-index.htm,8-K
LUMN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/18926/000119312526234400/0001193125-26-234400-index.htm,8-K
DRCTW,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1880613/000162828026037230/0001628280-26-037230-index.htm,8-K
DRCT,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1880613/000162828026037230/0001628280-26-037230-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/2118032/000119312526234382/0001193125-26-234382-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1654238/000092963826001947/0000929638-26-001947-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/2128772/000092963826001947/0000929638-26-001947-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/2131054/000110465926065025/0001104659-26-065025-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1115252/000110465926065025/0001104659-26-065025-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1999855/000177037326000026/0001770373-26-000026-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1770373/000177037326000026/0001770373-26-000026-index.htm,8-K
AIM,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/946644/000149315226024760/0001493152-26-024760-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/2115657/000114036126022359/0001140361-26-022359-index.htm,8-K
JUNS,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1679628/000149315226024748/0001493152-26-024748-index.htm,8-K
JUNSW,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1679628/000149315226024748/0001493152-26-024748-index.htm,8-K
RWOD,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026059864/0001213900-26-059864-index.htm,8-K
RWODW,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026059864/0001213900-26-059864-index.htm,8-K
RWODU,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026059864/0001213900-26-059864-index.htm,8-K
RWODR,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026059864/0001213900-26-059864-index.htm,8-K
AMAN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/2112457/000121390026059862/0001213900-26-059862-index.htm,8-K
CPTK-UN,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1827899/000121390026059855/0001213900-26-059855-index.htm,8-K
CPTK,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1827899/000121390026059855/0001213900-26-059855-index.htm,8-K
CPTK-WT,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1827899/000121390026059855/0001213900-26-059855-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1727255/000168316826004209/0001683168-26-004209-index.htm,8-K
CRBP,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1595097/000119312526233507/0001193125-26-233507-index.htm,8-K
VIAV,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/912093/000114036126022337/0001140361-26-022337-index.htm,8-K
CODX,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1692415/000149315226024738/0001493152-26-024738-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1750704/000162828026037051/0001628280-26-037051-index.htm,8-K
,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/931182/000119312526233381/0001193125-26-233381-index.htm,8-K
EQR,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/906107/000119312526233381/0001193125-26-233381-index.htm,8-K
NNUPD,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/888981/000107997326000713/0001079973-26-000713-index.htm,8-K
NNUP,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/888981/000107997326000713/0001079973-26-000713-index.htm,8-K
SKIL,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1774675/000143774926017991/0001437749-26-017991-index.htm,8-K
SKIL-WT,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1774675/000143774926017991/0001437749-26-017991-index.htm,8-K
WGRX,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/2030763/000149315226024723/0001493152-26-024723-index.htm,8-K
F,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/37996/000003799626000093/0000037996-26-000093-index.htm,8-K
F-PD,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/37996/000003799626000093/0000037996-26-000093-index.htm,8-K
F-PC,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/37996/000003799626000093/0000037996-26-000093-index.htm,8-K
F-PB,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/37996/000003799626000093/0000037996-26-000093-index.htm,8-K
CTSH,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1058290/000105829026000020/0001058290-26-000020-index.htm,8-K
MEC,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1766368/000110465926064802/0001104659-26-064802-index.htm,8-K
AVB,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/915912/000110465926064781/0001104659-26-064781-index.htm,8-K
SUI,2026-05-21 00:00:00,https://www.sec.gov/Archives/edgar/data/912593/000091259326000174/0000912593-26-000174-index.htm,8-K
