symbol,filingDate,filing_detail_url,document_type
PSNL,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/1527753/000119312526309101/0001193125-26-309101-index.htm,8-K
CCAQ,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/2041047/000121390026079700/0001213900-26-079700-index.htm,8-K
CCAQU,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/2041047/000121390026079700/0001213900-26-079700-index.htm,8-K
CCAQW,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/2041047/000121390026079700/0001213900-26-079700-index.htm,8-K
IPODU,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/2041047/000121390026079700/0001213900-26-079700-index.htm,8-K
IPOD,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/2041047/000121390026079700/0001213900-26-079700-index.htm,8-K
IPODW,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/2041047/000121390026079700/0001213900-26-079700-index.htm,8-K
GREE,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/1844971/000119380526000990/0001193805-26-000990-index.htm,8-K
GREEL,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/1844971/000119380526000990/0001193805-26-000990-index.htm,8-K
MTZ,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/15615/000119312526309077/0001193125-26-309077-index.htm,8-K
TOP,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/1848275/000121390026079696/0001213900-26-079696-index.htm,8-K
TEM,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/1717115/000119312526309073/0001193125-26-309073-index.htm,8-K
OPXS,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/1397016/000149315226033931/0001493152-26-033931-index.htm,8-K
DMAAU,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/2028614/000121390026079678/0001213900-26-079678-index.htm,8-K
DMAA,2026-07-20 00:00:00,https://www.sec.gov/Archives/edgar/data/2028614/000121390026079678/0001213900-26-079678-index.htm,8-K
