symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
FDCT,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1722731/000149315226027774/0001493152-26-027774-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1722731/000149315226027774/form8-k.htm,False,
THMG,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/711034/000106299326003106/0001062993-26-003106-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/711034/000106299326003106/form8k.htm,False,
KHC,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1637459/000119312526262099/0001193125-26-262099-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1637459/000119312526262099/d11167d8k.htm,False,
SATL,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1874315/000143774926019864/0001437749-26-019864-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1874315/000143774926019864/satl20260608_8k.htm,False,
SATLW,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1874315/000143774926019864/0001437749-26-019864-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1874315/000143774926019864/satl20260608_8k.htm,False,
None,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1913724/000162828026041684/0001628280-26-041684-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1913724/000162828026041684/agci-20260608.htm,True,
LUCK,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1840572/000162828026041683/0001628280-26-041683-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1840572/000162828026041683/bowl-20260602.htm,False,
LUCK,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1840572/000162828026041683/0001628280-26-041683-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1840572/000162828026041683/lse_bobbyxlavanxpresidentx.htm,False,
BOWL,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1840572/000162828026041683/0001628280-26-041683-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1840572/000162828026041683/bowl-20260602.htm,False,
BOWL,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1840572/000162828026041683/0001628280-26-041683-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1840572/000162828026041683/lse_bobbyxlavanxpresidentx.htm,False,
VIVK,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1450704/000182912626006192/0001829126-26-006192-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1450704/000182912626006192/vivakorinc_8k.htm,True,
VIVK,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1450704/000182912626006192/0001829126-26-006192-index.htm,EX-10.1,EXHIBIT 10.1,https://www.sec.gov/Archives/edgar/data/1450704/000182912626006192/vivakorinc_ex10-1.htm,False,
VIVK,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1450704/000182912626006192/0001829126-26-006192-index.htm,EX-10.2,EXHIBIT 10.2,https://www.sec.gov/Archives/edgar/data/1450704/000182912626006192/vivakorinc_ex10-2.htm,False,
VIVK,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1450704/000182912626006192/0001829126-26-006192-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/1450704/000182912626006192/vivakorinc_ex99-1.htm,False,
BJDX,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066364/0001213900-26-066364-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066364/ea0293390-8k_bluejay.htm,True,
BJDX,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066364/0001213900-26-066364-index.htm,EX-10.1,FORM OF SECURITIES PURCHASE AGREEMENT,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066364/ea029339001ex10-1.htm,True,
BJDX,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066364/0001213900-26-066364-index.htm,EX-10.2,FORM OF REGISTRATION RIGHTS AGREEMENT,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066364/ea029339001ex10-2.htm,False,
BJDX,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066364/0001213900-26-066364-index.htm,EX-99.1,"PRICING PRESS RELEASE, DATED JUNE 2, 2026",https://www.sec.gov/Archives/edgar/data/1704287/000121390026066364/ea029339001ex99-1.htm,False,
None,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2083583/000121390026066359/0001213900-26-066359-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2083564/000121390026066359/ea0293974-8k425_bstr.htm,True,
None,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2083583/000121390026066359/0001213900-26-066359-index.htm,EX-10.2,"AMENDMENT NO. 1 TO THE LOAN AGREEMENT, DATED JUNE 2, 2026, BY AND BETWEEN BSTR N",https://www.sec.gov/Archives/edgar/data/2083564/000121390026066359/ea029397401ex10-2.htm,True,
None,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2083564/000121390026066359/0001213900-26-066359-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2083564/000121390026066359/ea0293974-8k425_bstr.htm,True,
None,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2083564/000121390026066359/0001213900-26-066359-index.htm,EX-10.2,"AMENDMENT NO. 1 TO THE LOAN AGREEMENT, DATED JUNE 2, 2026, BY AND BETWEEN BSTR N",https://www.sec.gov/Archives/edgar/data/2083564/000121390026066359/ea029397401ex10-2.htm,True,
CMT,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1026655/000102665526000041/0001026655-26-000041-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1026655/000102665526000041/cmt-20260608.htm,False,
CMT,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1026655/000102665526000041/0001026655-26-000041-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1026655/000102665526000041/eastcoastjune2026final.htm,False,
None,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2048948/000121390026066354/0001213900-26-066354-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/2048948/000121390026066354/ea0293890-8k_newpro3.htm,True,
None,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2048948/000121390026066354/0001213900-26-066354-index.htm,EX-10.1,FORM OF PROMISSORY NOTE,https://www.sec.gov/Archives/edgar/data/2048948/000121390026066354/ea029389001ex10-1.htm,False,
KSCP,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1600983/000110465926071442/0001104659-26-071442-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1600983/000110465926071442/kscp-20260604x8k.htm,False,
ETS,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2053641/000110465926071441/0001104659-26-071441-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/2053641/000110465926071441/tm2617088d1_8k.htm,False,
ETS,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2053641/000110465926071441/0001104659-26-071441-index.htm,EX-10.1,EXHIBIT 10.1,https://www.sec.gov/Archives/edgar/data/2053641/000110465926071441/tm2617088d1_ex10-1.htm,False,
ETS,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/2053641/000110465926071441/0001104659-26-071441-index.htm,EX-10.2,EXHIBIT 10.2,https://www.sec.gov/Archives/edgar/data/2053641/000110465926071441/tm2617088d1_ex10-2.htm,False,
ELAB,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1840563/000121390026066351/0001213900-26-066351-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1840563/000121390026066351/ea0293813-8k_pmgc.htm,False,
CLVT-PA,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1764046/000176404626000075/0001764046-26-000075-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1764046/000176404626000075/clvt-20260605.htm,False,
CLVT-PA,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1764046/000176404626000075/0001764046-26-000075-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1764046/000176404626000075/ex991pressrelease.htm,False,
CLVT,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1764046/000176404626000075/0001764046-26-000075-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1764046/000176404626000075/clvt-20260605.htm,False,
CLVT,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1764046/000176404626000075/0001764046-26-000075-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1764046/000176404626000075/ex991pressrelease.htm,False,
ALAB,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000027/0001736297-26-000027-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000027/alab-20260604.htm,False,
IDR,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1030192/000165495426005780/0001654954-26-005780-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1030192/000165495426005780/idr_8k.htm,False,
NJMC,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1030192/000165495426005780/0001654954-26-005780-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1030192/000165495426005780/idr_8k.htm,False,
GECCO,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/0001193125-26-262002-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/gecc-20260608.htm,True,
GECCO,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/0001193125-26-262002-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/gecc-ex10_1.htm,True,
GECCH,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/0001193125-26-262002-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/gecc-20260608.htm,True,
GECCH,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/0001193125-26-262002-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/gecc-ex10_1.htm,True,
GECCI,2026-06-08 00:00:00,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/0001193125-26-262002-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/gecc-20260608.htm,True,
